Date Time,System Marginal Price (SMP)
2017-12-04 20:00:00,18.5
2017-12-04 21:00:00,17.11
2017-12-04 22:00:00,15.41
2017-12-04 23:00:00,14.96
2017-12-05 00:00:00,15.41
2017-12-05 01:00:00,15.41
2017-12-05 02:00:00,15.4
2017-12-05 03:00:00,15.4
2017-12-05 04:00:00,15.41
2017-12-05 05:00:00,17.22
2017-12-05 06:00:00,18.29
2017-12-05 07:00:00,18.29
2017-12-05 08:00:00,18.29
2017-12-05 09:00:00,18.28
2017-12-05 10:00:00,18.28
2017-12-05 11:00:00,18.28
2017-12-05 12:00:00,17.26
2017-12-05 13:00:00,16.04
2017-12-05 14:00:00,15.41
2017-12-05 15:00:00,16.89
2017-12-05 16:00:00,18.28
2017-12-05 17:00:00,18.49
2017-12-05 18:00:00,18.36
2017-12-05 19:00:00,20.07
2017-12-05 20:00:00,20.27
2017-12-05 21:00:00,18.94
2017-12-05 22:00:00,18.37
2017-12-05 23:00:00,18.26
2017-12-06 00:00:00,18.22
2017-12-06 01:00:00,16.33
2017-12-06 02:00:00,15.36
2017-12-06 03:00:00,17.53
2017-12-06 04:00:00,18.28
2017-12-06 05:00:00,19.02
2017-12-06 06:00:00,19.79
2017-12-06 07:00:00,21.93
2017-12-06 08:00:00,23.51
2017-12-06 09:00:00,20.43
2017-12-06 10:00:00,20.65
2017-12-06 11:00:00,23.31
2017-12-06 12:00:00,21.37
2017-12-06 13:00:00,20.49
2017-12-06 14:00:00,20.46
2017-12-06 15:00:00,20.43
2017-12-06 16:00:00,20.42
2017-12-06 17:00:00,20.42
2017-12-06 18:00:00,18.79
2017-12-06 19:00:00,18.67
