Date Time,System Marginal Price (SMP)
2017-03-28 16:00:00,17.59
2017-03-28 17:00:00,17.82
2017-03-28 18:00:00,15.73
2017-03-28 19:00:00,18.38
2017-03-28 20:00:00,18.43
2017-03-28 21:00:00,18.42
2017-03-28 22:00:00,15.59
2017-03-28 23:00:00,15.23
2017-03-29 00:00:00,15.13
2017-03-29 01:00:00,15.26
2017-03-29 02:00:00,13.72
2017-03-29 03:00:00,13.48
2017-03-29 04:00:00,15.18
2017-03-29 05:00:00,15.41
2017-03-29 06:00:00,18.37
2017-03-29 07:00:00,18.53
2017-03-29 08:00:00,20.13
2017-03-29 09:00:00,21.07
2017-03-29 10:00:00,20.35
2017-03-29 11:00:00,18.51
2017-03-29 12:00:00,18.48
2017-03-29 13:00:00,18.51
2017-03-29 14:00:00,18.42
2017-03-29 15:00:00,18.39
2017-03-29 16:00:00,18.39
2017-03-29 17:00:00,18.39
2017-03-29 18:00:00,18.44
2017-03-29 19:00:00,18.51
2017-03-29 20:00:00,23.22
2017-03-29 21:00:00,18.52
2017-03-29 22:00:00,15.83
2017-03-29 23:00:00,16.34
2017-03-30 00:00:00,14.1
2017-03-30 01:00:00,13.48
2017-03-30 02:00:00,14.39
2017-03-30 03:00:00,14.53
2017-03-30 04:00:00,15.4
2017-03-30 05:00:00,15.4
2017-03-30 06:00:00,16.92
2017-03-30 07:00:00,18.52
2017-03-30 08:00:00,18.88
2017-03-30 09:00:00,18.83
2017-03-30 10:00:00,17.7
2017-03-30 11:00:00,18.44
2017-03-30 12:00:00,18.51
2017-03-30 13:00:00,18.51
2017-03-30 14:00:00,18.51
2017-03-30 15:00:00,51.21
