Date Time,System Marginal Price (SMP)
2017-08-29 21:00:00,27.59
2017-08-29 22:00:00,25.99
2017-08-29 23:00:00,19.88
2017-08-30 00:00:00,18.39
2017-08-30 01:00:00,18.36
2017-08-30 02:00:00,18.29
2017-08-30 03:00:00,18.29
2017-08-30 04:00:00,18.38
2017-08-30 05:00:00,18.39
2017-08-30 06:00:00,20.09
2017-08-30 07:00:00,20.42
2017-08-30 08:00:00,20.42
2017-08-30 09:00:00,20.6
2017-08-30 10:00:00,20.74
2017-08-30 11:00:00,24.9
2017-08-30 12:00:00,20.92
2017-08-30 13:00:00,22.06
2017-08-30 14:00:00,29.46
2017-08-30 15:00:00,32.33
2017-08-30 16:00:00,27.77
2017-08-30 17:00:00,27.77
2017-08-30 18:00:00,27
2017-08-30 19:00:00,20.51
2017-08-30 20:00:00,20.43
2017-08-30 21:00:00,20.45
2017-08-30 22:00:00,20.69
2017-08-30 23:00:00,19.73
2017-08-31 00:00:00,18.39
2017-08-31 01:00:00,17.38
2017-08-31 02:00:00,15.63
2017-08-31 03:00:00,16.24
2017-08-31 04:00:00,18.18
2017-08-31 05:00:00,18.28
2017-08-31 06:00:00,18.37
2017-08-31 07:00:00,18.35
2017-08-31 08:00:00,18.78
2017-08-31 09:00:00,20.18
2017-08-31 10:00:00,20.43
2017-08-31 11:00:00,20.67
2017-08-31 12:00:00,21.32
2017-08-31 13:00:00,21.4
2017-08-31 14:00:00,21.59
2017-08-31 15:00:00,23.35
2017-08-31 16:00:00,20.89
2017-08-31 17:00:00,22.77
2017-08-31 18:00:00,20.44
2017-08-31 19:00:00,20.43
2017-08-31 20:00:00,20.43
