Date Time,System Marginal Price (SMP)
2018-06-24 13:00:00,43.17
2018-06-24 14:00:00,45.62
2018-06-24 15:00:00,74.6
2018-06-24 16:00:00,85.97
2018-06-24 17:00:00,143.82
2018-06-24 18:00:00,116.38
2018-06-24 19:00:00,46.06
2018-06-24 20:00:00,45.74
2018-06-24 21:00:00,36.25
2018-06-24 22:00:00,32.43
2018-06-24 23:00:00,32.84
2018-06-25 00:00:00,30.27
2018-06-25 01:00:00,27.19
2018-06-25 02:00:00,27.18
2018-06-25 03:00:00,27.18
2018-06-25 04:00:00,27.18
2018-06-25 05:00:00,27.18
2018-06-25 06:00:00,30.68
2018-06-25 07:00:00,30.95
2018-06-25 08:00:00,33.13
2018-06-25 09:00:00,39.56
2018-06-25 10:00:00,42.16
2018-06-25 11:00:00,44.44
2018-06-25 12:00:00,85.47
2018-06-25 13:00:00,87.43
2018-06-25 14:00:00,44.37
2018-06-25 15:00:00,41.56
2018-06-25 16:00:00,42.83
2018-06-25 17:00:00,40.6
2018-06-25 18:00:00,33.91
2018-06-25 19:00:00,33.8
2018-06-25 20:00:00,35.62
2018-06-25 21:00:00,35.6
2018-06-25 22:00:00,31.75
2018-06-25 23:00:00,31.21
2018-06-26 00:00:00,26.93
2018-06-26 01:00:00,25.1
2018-06-26 02:00:00,23.04
2018-06-26 03:00:00,20.67
2018-06-26 04:00:00,24.59
2018-06-26 05:00:00,19.27
2018-06-26 06:00:00,23.21
2018-06-26 07:00:00,27.18
2018-06-26 08:00:00,29.81
2018-06-26 09:00:00,31
2018-06-26 10:00:00,31.65
2018-06-26 11:00:00,31.74
2018-06-26 12:00:00,31.74
