Date Time,System Marginal Price (SMP)
2018-08-30 22:00:00,28.27
2018-08-30 23:00:00,26.24
2018-08-31 00:00:00,24.12
2018-08-31 01:00:00,24.36
2018-08-31 02:00:00,25.1
2018-08-31 03:00:00,25.41
2018-08-31 04:00:00,25.99
2018-08-31 05:00:00,28.64
2018-08-31 06:00:00,31.69
2018-08-31 07:00:00,32.75
2018-08-31 08:00:00,36.71
2018-08-31 09:00:00,44.55
2018-08-31 10:00:00,45.83
2018-08-31 11:00:00,34.12
2018-08-31 12:00:00,33.26
2018-08-31 13:00:00,33.25
2018-08-31 14:00:00,33.25
2018-08-31 15:00:00,32.65
2018-08-31 16:00:00,31.75
2018-08-31 17:00:00,31.75
2018-08-31 18:00:00,31.74
2018-08-31 19:00:00,31.74
2018-08-31 20:00:00,30.62
2018-08-31 21:00:00,31.7
2018-08-31 22:00:00,31.22
2018-08-31 23:00:00,28.15
2018-09-01 00:00:00,29.86
2018-09-01 01:00:00,30.43
2018-09-01 02:00:00,30.28
2018-09-01 03:00:00,28.03
2018-09-01 04:00:00,27.3
2018-09-01 05:00:00,26.12
2018-09-01 06:00:00,27.18
2018-09-01 07:00:00,26.36
2018-09-01 08:00:00,27.18
2018-09-01 09:00:00,30.31
2018-09-01 10:00:00,31.6
2018-09-01 11:00:00,30.77
2018-09-01 12:00:00,32.33
2018-09-01 13:00:00,33.25
2018-09-01 14:00:00,32.2
2018-09-01 15:00:00,31.75
2018-09-01 16:00:00,32.33
2018-09-01 17:00:00,33.25
2018-09-01 18:00:00,33.25
2018-09-01 19:00:00,33.25
2018-09-01 20:00:00,32.6
2018-09-01 21:00:00,33.25
