Date Time,System Marginal Price (SMP)
2017-01-29 01:00:00,18.39
2017-01-29 02:00:00,18.39
2017-01-29 03:00:00,18.39
2017-01-29 04:00:00,18.39
2017-01-29 05:00:00,18.39
2017-01-29 06:00:00,18.39
2017-01-29 07:00:00,19.3
2017-01-29 08:00:00,20.42
2017-01-29 09:00:00,20.42
2017-01-29 10:00:00,20.42
2017-01-29 11:00:00,19.42
2017-01-29 12:00:00,18.85
2017-01-29 13:00:00,18.39
2017-01-29 14:00:00,18.4
2017-01-29 15:00:00,18.42
2017-01-29 16:00:00,18.42
2017-01-29 17:00:00,21.88
2017-01-29 18:00:00,20.42
2017-01-29 19:00:00,20.5
2017-01-29 20:00:00,19.89
2017-01-29 21:00:00,18.4
2017-01-29 22:00:00,18.39
2017-01-29 23:00:00,18.39
2017-01-30 00:00:00,18.32
2017-01-30 01:00:00,18.29
2017-01-30 02:00:00,18.29
2017-01-30 03:00:00,18.29
2017-01-30 04:00:00,18.29
2017-01-30 05:00:00,18.39
2017-01-30 06:00:00,19.06
2017-01-30 07:00:00,31.54
2017-01-30 08:00:00,35.13
2017-01-30 09:00:00,34.29
2017-01-30 10:00:00,27.77
2017-01-30 11:00:00,23.23
2017-01-30 12:00:00,20.4
