Date Time,System Marginal Price (SMP)
2017-01-06 22:00:00,19.39
2017-01-06 23:00:00,18.69
2017-01-07 00:00:00,19.06
2017-01-07 01:00:00,18.36
2017-01-07 02:00:00,18.11
2017-01-07 03:00:00,18.11
2017-01-07 04:00:00,18.55
2017-01-07 05:00:00,19.07
2017-01-07 06:00:00,19.92
2017-01-07 07:00:00,24.47
2017-01-07 08:00:00,33.77
2017-01-07 09:00:00,32.69
2017-01-07 10:00:00,35.8
2017-01-07 11:00:00,39.56
2017-01-07 12:00:00,40
2017-01-07 13:00:00,40
2017-01-07 14:00:00,38.28
2017-01-07 15:00:00,31.38
2017-01-07 16:00:00,33.37
2017-01-07 17:00:00,48.96
2017-01-07 18:00:00,36.9
2017-01-07 19:00:00,28.51
2017-01-07 20:00:00,28.18
2017-01-07 21:00:00,31.73
2017-01-07 22:00:00,31.72
2017-01-07 23:00:00,27.77
2017-01-08 00:00:00,24.06
2017-01-08 01:00:00,21.67
2017-01-08 02:00:00,19.83
2017-01-08 03:00:00,19.35
2017-01-08 04:00:00,19.15
2017-01-08 05:00:00,19.02
2017-01-08 06:00:00,19.07
2017-01-08 07:00:00,19.08
2017-01-08 08:00:00,20.08
2017-01-08 09:00:00,21.12
