Date Time,System Marginal Price (SMP)
2019-07-26 01:00:00,28.58
2019-07-26 02:00:00,28.54
2019-07-26 03:00:00,28.56
2019-07-26 04:00:00,28.51
2019-07-26 05:00:00,28.51
2019-07-26 06:00:00,28.49
2019-07-26 07:00:00,28.55
2019-07-26 08:00:00,32.82
2019-07-26 09:00:00,33.85
2019-07-26 10:00:00,53.11
2019-07-26 11:00:00,85.54
2019-07-26 12:00:00,59.29
2019-07-26 13:00:00,56.41
2019-07-26 14:00:00,80.49
2019-07-26 15:00:00,52.09
2019-07-26 16:00:00,58.52
2019-07-26 17:00:00,80.35
2019-07-26 18:00:00,58.31
2019-07-26 19:00:00,55.92
2019-07-26 20:00:00,43.59
2019-07-26 21:00:00,33.84
2019-07-26 22:00:00,33.05
2019-07-26 23:00:00,32.99
2019-07-27 00:00:00,30.64
2019-07-27 01:00:00,28.55
2019-07-27 02:00:00,28.54
2019-07-27 03:00:00,28.54
2019-07-27 04:00:00,28.54
2019-07-27 05:00:00,28.48
2019-07-27 06:00:00,28.46
2019-07-27 07:00:00,28.53
2019-07-27 08:00:00,28.56
2019-07-27 09:00:00,32.49
2019-07-27 10:00:00,32.99
2019-07-27 11:00:00,33.47
2019-07-27 12:00:00,33.25
