Date Time,System Marginal Price (SMP)
2016-10-06 12:00:00,27.24
2016-10-06 13:00:00,25.46
2016-10-06 14:00:00,27.88
2016-10-06 15:00:00,27.04
2016-10-06 16:00:00,28.71
2016-10-06 17:00:00,32.59
2016-10-06 18:00:00,32.59
2016-10-06 19:00:00,32.59
2016-10-06 20:00:00,27.48
2016-10-06 21:00:00,25.48
2016-10-06 22:00:00,23.4
2016-10-06 23:00:00,21.87
2016-10-07 00:00:00,21.41
2016-10-07 01:00:00,18.62
2016-10-07 02:00:00,15.47
2016-10-07 03:00:00,15.47
2016-10-07 04:00:00,15.47
2016-10-07 05:00:00,18.86
2016-10-07 06:00:00,25.44
2016-10-07 07:00:00,35.16
2016-10-07 08:00:00,35.88
2016-10-07 09:00:00,36.87
2016-10-07 10:00:00,32.1
2016-10-07 11:00:00,24.31
2016-10-07 12:00:00,30.66
2016-10-07 13:00:00,39.01
2016-10-07 14:00:00,39.84
2016-10-07 15:00:00,39.17
2016-10-07 16:00:00,29.07
2016-10-07 17:00:00,25.25
2016-10-07 18:00:00,23.46
2016-10-07 19:00:00,27.37
2016-10-07 20:00:00,31.27
2016-10-07 21:00:00,35.36
2016-10-07 22:00:00,31.17
2016-10-07 23:00:00,31.48
2016-10-08 00:00:00,35.8
2016-10-08 01:00:00,36.02
2016-10-08 02:00:00,36.51
2016-10-08 03:00:00,34.39
2016-10-08 04:00:00,34
2016-10-08 05:00:00,34.41
2016-10-08 06:00:00,35.69
2016-10-08 07:00:00,32.91
2016-10-08 08:00:00,34.18
2016-10-08 09:00:00,40.47
2016-10-08 10:00:00,45.07
