Date Time,System Marginal Price (SMP)
2017-11-06 14:00:00,23.36
2017-11-06 15:00:00,18.77
2017-11-06 16:00:00,19.02
2017-11-06 17:00:00,18.58
2017-11-06 18:00:00,18.33
2017-11-06 19:00:00,18.39
2017-11-06 20:00:00,18.38
2017-11-06 21:00:00,18.38
2017-11-06 22:00:00,18.33
2017-11-06 23:00:00,18.28
2017-11-07 00:00:00,16.33
2017-11-07 01:00:00,15.41
2017-11-07 02:00:00,15.41
2017-11-07 03:00:00,15.41
2017-11-07 04:00:00,16.56
2017-11-07 05:00:00,18.28
2017-11-07 06:00:00,19.72
2017-11-07 07:00:00,19.76
2017-11-07 08:00:00,19.33
2017-11-07 09:00:00,20.4
2017-11-07 10:00:00,20.26
2017-11-07 11:00:00,24.48
2017-11-07 12:00:00,25.76
2017-11-07 13:00:00,23.73
2017-11-07 14:00:00,20.49
2017-11-07 15:00:00,21.48
2017-11-07 16:00:00,23.06
2017-11-07 17:00:00,25.23
2017-11-07 18:00:00,23.94
2017-11-07 19:00:00,27.15
2017-11-07 20:00:00,27.77
2017-11-07 21:00:00,26.92
2017-11-07 22:00:00,21.59
2017-11-07 23:00:00,22.7
2017-11-08 00:00:00,20.27
2017-11-08 01:00:00,20.4
2017-11-08 02:00:00,21.5
2017-11-08 03:00:00,20.51
2017-11-08 04:00:00,24.85
2017-11-08 05:00:00,27.69
2017-11-08 06:00:00,34.72
2017-11-08 07:00:00,27.77
2017-11-08 08:00:00,27.77
2017-11-08 09:00:00,30.42
2017-11-08 10:00:00,40.38
2017-11-08 11:00:00,53.53
2017-11-08 12:00:00,35.81
