Date Time,System Marginal Price (SMP)
2018-07-20 09:00:00,33.25
2018-07-20 10:00:00,37.56
2018-07-20 11:00:00,41.69
2018-07-20 12:00:00,42.11
2018-07-20 13:00:00,41.79
2018-07-20 14:00:00,41.43
2018-07-20 15:00:00,41.43
2018-07-20 16:00:00,33.75
2018-07-20 17:00:00,32.96
2018-07-20 18:00:00,31.74
2018-07-20 19:00:00,30.79
2018-07-20 20:00:00,27.18
2018-07-20 21:00:00,27.18
2018-07-20 22:00:00,27.19
2018-07-20 23:00:00,27.18
2018-07-21 00:00:00,27.13
2018-07-21 01:00:00,25.55
2018-07-21 02:00:00,27.09
2018-07-21 03:00:00,27.18
2018-07-21 04:00:00,27.18
2018-07-21 05:00:00,27.19
2018-07-21 06:00:00,27.19
2018-07-21 07:00:00,29.04
2018-07-21 08:00:00,32.42
2018-07-21 09:00:00,35.72
2018-07-21 10:00:00,37.78
2018-07-21 11:00:00,37.59
2018-07-21 12:00:00,36.77
2018-07-21 13:00:00,33.25
2018-07-21 14:00:00,32.73
2018-07-21 15:00:00,31.75
2018-07-21 16:00:00,29.01
2018-07-21 17:00:00,27.19
2018-07-21 18:00:00,27.15
2018-07-21 19:00:00,25.2
2018-07-21 20:00:00,25.18
2018-07-21 21:00:00,26.94
2018-07-21 22:00:00,27.17
2018-07-21 23:00:00,27.18
2018-07-22 00:00:00,27.17
2018-07-22 01:00:00,26.98
2018-07-22 02:00:00,26.99
2018-07-22 03:00:00,27.18
2018-07-22 04:00:00,27.18
2018-07-22 05:00:00,27.09
2018-07-22 06:00:00,25.15
2018-07-22 07:00:00,25.15
