Date Time,System Marginal Price (SMP)
2019-03-05 02:00:00,53.63
2019-03-05 03:00:00,54.41
2019-03-05 04:00:00,62.98
2019-03-05 05:00:00,57.39
2019-03-05 06:00:00,199.04
2019-03-05 07:00:00,65.4
2019-03-05 08:00:00,81.69
2019-03-05 09:00:00,278.42
2019-03-05 10:00:00,63.47
2019-03-05 11:00:00,39.75
2019-03-05 12:00:00,50.16
2019-03-05 13:00:00,33.67
2019-03-05 14:00:00,44.24
2019-03-05 15:00:00,33.14
2019-03-05 16:00:00,45.88
2019-03-05 17:00:00,51.24
2019-03-05 18:00:00,54.82
2019-03-05 19:00:00,55.06
2019-03-05 20:00:00,51.08
2019-03-05 21:00:00,53.02
2019-03-05 22:00:00,51.37
2019-03-05 23:00:00,60.2
2019-03-06 00:00:00,66.47
2019-03-06 01:00:00,53.67
2019-03-06 02:00:00,53.7
2019-03-06 03:00:00,49.82
2019-03-06 04:00:00,49.86
2019-03-06 05:00:00,48.01
2019-03-06 06:00:00,53.34
2019-03-06 07:00:00,55.26
2019-03-06 08:00:00,56.54
2019-03-06 09:00:00,53.05
2019-03-06 10:00:00,52.34
2019-03-06 11:00:00,53.33
2019-03-06 12:00:00,53.27
2019-03-06 13:00:00,53.27
2019-03-06 14:00:00,53.48
2019-03-06 15:00:00,55.65
2019-03-06 16:00:00,58.89
2019-03-06 17:00:00,56.4
2019-03-06 18:00:00,57.41
2019-03-06 19:00:00,57.35
2019-03-06 20:00:00,59.52
2019-03-06 21:00:00,62.44
2019-03-06 22:00:00,50.24
2019-03-06 23:00:00,41.65
2019-03-07 00:00:00,36.82
