Date Time,System Marginal Price (SMP)
2019-07-31 13:00:00,137.66
2019-07-31 14:00:00,86.27
2019-07-31 15:00:00,77.55
2019-07-31 16:00:00,37.8
2019-07-31 17:00:00,73
2019-07-31 18:00:00,98.1
2019-07-31 19:00:00,46.49
2019-07-31 20:00:00,33.07
2019-07-31 21:00:00,32.67
2019-07-31 22:00:00,31.64
2019-07-31 23:00:00,29.31
2019-08-01 00:00:00,28.61
2019-08-01 01:00:00,28.56
2019-08-01 02:00:00,28.49
2019-08-01 03:00:00,28.53
2019-08-01 04:00:00,28.47
2019-08-01 05:00:00,28.5
2019-08-01 06:00:00,28.48
2019-08-01 07:00:00,27.2
2019-08-01 08:00:00,28.54
2019-08-01 09:00:00,31.92
2019-08-01 10:00:00,33.33
2019-08-01 11:00:00,34.35
2019-08-01 12:00:00,134.12
2019-08-01 13:00:00,489.18
2019-08-01 14:00:00,41.61
2019-08-01 15:00:00,83.79
2019-08-01 16:00:00,78.15
2019-08-01 17:00:00,75.96
2019-08-01 18:00:00,75.1
2019-08-01 19:00:00,273.51
2019-08-01 20:00:00,171.72
2019-08-01 21:00:00,87.37
2019-08-01 22:00:00,78.42
2019-08-01 23:00:00,44.24
2019-08-02 00:00:00,34.27
2019-08-02 01:00:00,32.9
2019-08-02 02:00:00,32.59
2019-08-02 03:00:00,31.55
2019-08-02 04:00:00,31.34
2019-08-02 05:00:00,31.79
2019-08-02 06:00:00,32.65
2019-08-02 07:00:00,32.27
2019-08-02 08:00:00,34.19
2019-08-02 09:00:00,33.86
2019-08-02 10:00:00,28.54
2019-08-02 11:00:00,31.12
