Date Time,System Marginal Price (SMP)
2016-10-20 14:00:00,25.43
2016-10-20 15:00:00,21.54
2016-10-20 16:00:00,21.41
2016-10-20 17:00:00,21.41
2016-10-20 18:00:00,21.91
2016-10-20 19:00:00,24.44
2016-10-20 20:00:00,24.11
2016-10-20 21:00:00,23.48
2016-10-20 22:00:00,16.27
2016-10-20 23:00:00,15.14
2016-10-21 00:00:00,13.5
2016-10-21 01:00:00,12.6
2016-10-21 02:00:00,13.48
2016-10-21 03:00:00,13.5
2016-10-21 04:00:00,13.51
2016-10-21 05:00:00,14.3
2016-10-21 06:00:00,15.37
2016-10-21 07:00:00,19.41
2016-10-21 08:00:00,21.41
2016-10-21 09:00:00,28.98
2016-10-21 10:00:00,36.17
2016-10-21 11:00:00,28.76
2016-10-21 12:00:00,25.27
2016-10-21 13:00:00,24.64
2016-10-21 14:00:00,31.44
2016-10-21 15:00:00,35.91
2016-10-21 16:00:00,32.97
2016-10-21 17:00:00,26.04
2016-10-21 18:00:00,28.03
2016-10-21 19:00:00,35.76
2016-10-21 20:00:00,36.73
2016-10-21 21:00:00,36.33
2016-10-21 22:00:00,37.35
2016-10-21 23:00:00,36.18
2016-10-22 00:00:00,33.07
2016-10-22 01:00:00,21.92
