Date Time,System Marginal Price (SMP)
2016-12-17 20:00:00,21.41
2016-12-17 21:00:00,21.24
2016-12-17 22:00:00,19.63
2016-12-17 23:00:00,15.44
2016-12-18 00:00:00,15.34
2016-12-18 01:00:00,14.97
2016-12-18 02:00:00,15.25
2016-12-18 03:00:00,15.25
2016-12-18 04:00:00,13.86
2016-12-18 05:00:00,15.25
2016-12-18 06:00:00,15.25
2016-12-18 07:00:00,15.25
2016-12-18 08:00:00,15.46
2016-12-18 09:00:00,15.47
2016-12-18 10:00:00,18.68
2016-12-18 11:00:00,18.57
2016-12-18 12:00:00,19.63
2016-12-18 13:00:00,19.31
2016-12-18 14:00:00,19
2016-12-18 15:00:00,18.52
2016-12-18 16:00:00,19.45
2016-12-18 17:00:00,21.41
2016-12-18 18:00:00,20.32
2016-12-18 19:00:00,20.35
2016-12-18 20:00:00,23.98
2016-12-18 21:00:00,26.35
2016-12-18 22:00:00,16.76
2016-12-18 23:00:00,15.44
2016-12-19 00:00:00,15.38
2016-12-19 01:00:00,15.36
2016-12-19 02:00:00,15.35
2016-12-19 03:00:00,15.3
2016-12-19 04:00:00,15.32
2016-12-19 05:00:00,15.36
2016-12-19 06:00:00,16.95
2016-12-19 07:00:00,21.42
