Date Time,System Marginal Price (SMP)
2017-11-27 19:00:00,19.27
2017-11-27 20:00:00,18.46
2017-11-27 21:00:00,18.42
2017-11-27 22:00:00,16.16
2017-11-27 23:00:00,18.02
2017-11-28 00:00:00,17.24
2017-11-28 01:00:00,15.78
2017-11-28 02:00:00,15.41
2017-11-28 03:00:00,15.41
2017-11-28 04:00:00,15.41
2017-11-28 05:00:00,15.41
2017-11-28 06:00:00,18.25
2017-11-28 07:00:00,19.52
2017-11-28 08:00:00,18.33
2017-11-28 09:00:00,18.39
2017-11-28 10:00:00,18.39
2017-11-28 11:00:00,18.41
2017-11-28 12:00:00,18.38
2017-11-28 13:00:00,18.52
2017-11-28 14:00:00,20.42
2017-11-28 15:00:00,20.42
2017-11-28 16:00:00,22.11
2017-11-28 17:00:00,22.11
2017-11-28 18:00:00,20.4
2017-11-28 19:00:00,20.42
2017-11-28 20:00:00,20.43
2017-11-28 21:00:00,18.49
2017-11-28 22:00:00,18.35
2017-11-28 23:00:00,18.29
2017-11-29 00:00:00,18.29
2017-11-29 01:00:00,18.28
2017-11-29 02:00:00,17.03
2017-11-29 03:00:00,15.94
2017-11-29 04:00:00,16.31
2017-11-29 05:00:00,18.28
2017-11-29 06:00:00,18.43
