Date Time,System Marginal Price (SMP)
2017-06-22 01:00:00,18.26
2017-06-22 02:00:00,15.7
2017-06-22 03:00:00,15.4
2017-06-22 04:00:00,15.38
2017-06-22 05:00:00,15.75
2017-06-22 06:00:00,18.37
2017-06-22 07:00:00,18.39
2017-06-22 08:00:00,19.27
2017-06-22 09:00:00,18.5
2017-06-22 10:00:00,18.5
2017-06-22 11:00:00,18.39
2017-06-22 12:00:00,18.4
2017-06-22 13:00:00,18.5
2017-06-22 14:00:00,18.5
2017-06-22 15:00:00,18.5
2017-06-22 16:00:00,19.18
2017-06-22 17:00:00,18.71
2017-06-22 18:00:00,18.5
2017-06-22 19:00:00,18.5
2017-06-22 20:00:00,18.5
2017-06-22 21:00:00,20.36
2017-06-22 22:00:00,18.96
2017-06-22 23:00:00,18.39
2017-06-23 00:00:00,18.29
2017-06-23 01:00:00,18.28
2017-06-23 02:00:00,18.29
2017-06-23 03:00:00,18.29
2017-06-23 04:00:00,18.29
2017-06-23 05:00:00,18.29
2017-06-23 06:00:00,18.49
2017-06-23 07:00:00,20.91
2017-06-23 08:00:00,24.15
2017-06-23 09:00:00,27.58
2017-06-23 10:00:00,27.77
2017-06-23 11:00:00,36.51
2017-06-23 12:00:00,29.35
