Date Time,System Marginal Price (SMP)
2019-06-26 22:00:00,29.75
2019-06-26 23:00:00,33.49
2019-06-27 00:00:00,30.78
2019-06-27 01:00:00,27.06
2019-06-27 02:00:00,26.1
2019-06-27 03:00:00,26.02
2019-06-27 04:00:00,28.34
2019-06-27 05:00:00,28.54
2019-06-27 06:00:00,29.88
2019-06-27 07:00:00,33.52
2019-06-27 08:00:00,31.95
2019-06-27 09:00:00,33.54
2019-06-27 10:00:00,33.53
2019-06-27 11:00:00,33.85
2019-06-27 12:00:00,34.48
2019-06-27 13:00:00,35.09
2019-06-27 14:00:00,35.14
2019-06-27 15:00:00,35.11
2019-06-27 16:00:00,35.14
2019-06-27 17:00:00,34.94
2019-06-27 18:00:00,31.82
2019-06-27 19:00:00,30.86
2019-06-27 20:00:00,33.05
2019-06-27 21:00:00,33.83
2019-06-27 22:00:00,34.08
2019-06-27 23:00:00,34.38
2019-06-28 00:00:00,33.48
2019-06-28 01:00:00,30.01
2019-06-28 02:00:00,28.57
2019-06-28 03:00:00,27.73
2019-06-28 04:00:00,24.93
2019-06-28 05:00:00,25.56
2019-06-28 06:00:00,28.2
2019-06-28 07:00:00,28.26
2019-06-28 08:00:00,28.54
2019-06-28 09:00:00,28.57
