Date Time,System Marginal Price (SMP)
2019-07-17 16:00:00,32.78
2019-07-17 17:00:00,33.22
2019-07-17 18:00:00,32.78
2019-07-17 19:00:00,32.47
2019-07-17 20:00:00,30.86
2019-07-17 21:00:00,29.05
2019-07-17 22:00:00,29.07
2019-07-17 23:00:00,28.42
2019-07-18 00:00:00,29.03
2019-07-18 01:00:00,29.04
2019-07-18 02:00:00,29.03
2019-07-18 03:00:00,28.99
2019-07-18 04:00:00,29.85
2019-07-18 05:00:00,31.62
2019-07-18 06:00:00,32.54
2019-07-18 07:00:00,29.16
2019-07-18 08:00:00,29.27
2019-07-18 09:00:00,29.02
2019-07-18 10:00:00,28.75
2019-07-18 11:00:00,28.95
2019-07-18 12:00:00,28.96
2019-07-18 13:00:00,27.71
2019-07-18 14:00:00,25.29
2019-07-18 15:00:00,28.01
2019-07-18 16:00:00,29.41
2019-07-18 17:00:00,32.24
2019-07-18 18:00:00,30.92
2019-07-18 19:00:00,28.94
2019-07-18 20:00:00,29.01
2019-07-18 21:00:00,28.99
2019-07-18 22:00:00,31.7
2019-07-18 23:00:00,30.21
2019-07-19 00:00:00,29.02
2019-07-19 01:00:00,28.8
2019-07-19 02:00:00,28.7
2019-07-19 03:00:00,28.71
