Date Time,System Marginal Price (SMP)
2017-12-02 12:00:00,18.51
2017-12-02 13:00:00,18.51
2017-12-02 14:00:00,18.51
2017-12-02 15:00:00,19.51
2017-12-02 16:00:00,24.03
2017-12-02 17:00:00,27.73
2017-12-02 18:00:00,29.11
2017-12-02 19:00:00,28.6
2017-12-02 20:00:00,31.59
2017-12-02 21:00:00,31.63
2017-12-02 22:00:00,29.23
2017-12-02 23:00:00,28.35
2017-12-03 00:00:00,27.42
2017-12-03 01:00:00,21.91
2017-12-03 02:00:00,20.64
2017-12-03 03:00:00,20.81
2017-12-03 04:00:00,20.42
2017-12-03 05:00:00,20.42
2017-12-03 06:00:00,21.61
2017-12-03 07:00:00,24.5
2017-12-03 08:00:00,27.26
2017-12-03 09:00:00,27.42
2017-12-03 10:00:00,27.12
2017-12-03 11:00:00,26.44
2017-12-03 12:00:00,23.36
2017-12-03 13:00:00,20.42
2017-12-03 14:00:00,20.28
2017-12-03 15:00:00,19.09
2017-12-03 16:00:00,22.37
2017-12-03 17:00:00,24.04
2017-12-03 18:00:00,22.75
2017-12-03 19:00:00,25.55
2017-12-03 20:00:00,25.55
2017-12-03 21:00:00,22.06
2017-12-03 22:00:00,20.47
2017-12-03 23:00:00,20.42
2017-12-04 00:00:00,20.25
2017-12-04 01:00:00,19.17
2017-12-04 02:00:00,18.5
2017-12-04 03:00:00,18.5
2017-12-04 04:00:00,19.95
2017-12-04 05:00:00,19.5
2017-12-04 06:00:00,20.05
2017-12-04 07:00:00,20.43
2017-12-04 08:00:00,20.1
2017-12-04 09:00:00,20.3
2017-12-04 10:00:00,20.6
2017-12-04 11:00:00,26.44
