Date Time,System Marginal Price (SMP)
2018-12-23 05:00:00,33.24
2018-12-23 06:00:00,33.25
2018-12-23 07:00:00,33.24
2018-12-23 08:00:00,33.24
2018-12-23 09:00:00,33.24
2018-12-23 10:00:00,33.25
2018-12-23 11:00:00,33.25
2018-12-23 12:00:00,38.01
2018-12-23 13:00:00,36.26
2018-12-23 14:00:00,33.25
2018-12-23 15:00:00,33.24
2018-12-23 16:00:00,38.85
2018-12-23 17:00:00,43.11
2018-12-23 18:00:00,48.61
2018-12-23 19:00:00,50.72
2018-12-23 20:00:00,51.3
2018-12-23 21:00:00,42.32
2018-12-23 22:00:00,40.52
2018-12-23 23:00:00,50
2018-12-24 00:00:00,48.99
2018-12-24 01:00:00,47
2018-12-24 02:00:00,45.57
2018-12-24 03:00:00,46.26
2018-12-24 04:00:00,50.1
2018-12-24 05:00:00,48.29
2018-12-24 06:00:00,85.08
2018-12-24 07:00:00,50.89
2018-12-24 08:00:00,51.61
2018-12-24 09:00:00,51.61
2018-12-24 10:00:00,57.44
2018-12-24 11:00:00,60.05
2018-12-24 12:00:00,59.73
2018-12-24 13:00:00,56.41
2018-12-24 14:00:00,50.91
2018-12-24 15:00:00,49.4
2018-12-24 16:00:00,64.1
2018-12-24 17:00:00,107.1
2018-12-24 18:00:00,59.72
2018-12-24 19:00:00,46.88
2018-12-24 20:00:00,43.01
2018-12-24 21:00:00,44.46
2018-12-24 22:00:00,41.36
2018-12-24 23:00:00,41.39
2018-12-25 00:00:00,38.25
2018-12-25 01:00:00,36.92
2018-12-25 02:00:00,33.44
2018-12-25 03:00:00,33.25
2018-12-25 04:00:00,33.25
