Date Time,System Marginal Price (SMP)
2018-07-05 10:00:00,33.28
2018-07-05 11:00:00,32.98
2018-07-05 12:00:00,39.55
2018-07-05 13:00:00,42.13
2018-07-05 14:00:00,43.35
2018-07-05 15:00:00,45.95
2018-07-05 16:00:00,46.06
2018-07-05 17:00:00,46.06
2018-07-05 18:00:00,45.97
2018-07-05 19:00:00,44.97
2018-07-05 20:00:00,40.33
2018-07-05 21:00:00,32.02
2018-07-05 22:00:00,31.5
2018-07-05 23:00:00,29.52
2018-07-06 00:00:00,27.17
2018-07-06 01:00:00,26.09
2018-07-06 02:00:00,26.55
2018-07-06 03:00:00,25.15
2018-07-06 04:00:00,25.15
2018-07-06 05:00:00,25.1
2018-07-06 06:00:00,26.59
2018-07-06 07:00:00,29.6
2018-07-06 08:00:00,42.95
2018-07-06 09:00:00,46.05
2018-07-06 10:00:00,63.07
2018-07-06 11:00:00,46.06
2018-07-06 12:00:00,43.63
2018-07-06 13:00:00,33.25
2018-07-06 14:00:00,32.88
2018-07-06 15:00:00,32.4
2018-07-06 16:00:00,32.93
2018-07-06 17:00:00,32.93
2018-07-06 18:00:00,31.71
2018-07-06 19:00:00,31.75
2018-07-06 20:00:00,29.78
2018-07-06 21:00:00,27.17
2018-07-06 22:00:00,27.08
2018-07-06 23:00:00,26.39
2018-07-07 00:00:00,23.72
2018-07-07 01:00:00,25.36
2018-07-07 02:00:00,27.18
2018-07-07 03:00:00,26.16
2018-07-07 04:00:00,22.18
2018-07-07 05:00:00,15.16
2018-07-07 06:00:00,13.6
2018-07-07 07:00:00,16.53
2018-07-07 08:00:00,23.17
2018-07-07 09:00:00,27.02
