Date Time,System Marginal Price (SMP)
2018-04-07 01:00:00,31.75
2018-04-07 02:00:00,32.93
2018-04-07 03:00:00,32.23
2018-04-07 04:00:00,31.75
2018-04-07 05:00:00,33.07
2018-04-07 06:00:00,33.26
2018-04-07 07:00:00,33.25
2018-04-07 08:00:00,33.26
2018-04-07 09:00:00,36.82
2018-04-07 10:00:00,43.86
2018-04-07 11:00:00,45.86
2018-04-07 12:00:00,44.69
2018-04-07 13:00:00,39.91
2018-04-07 14:00:00,35.83
2018-04-07 15:00:00,34.9
2018-04-07 16:00:00,36.35
2018-04-07 17:00:00,38.38
2018-04-07 18:00:00,42.51
2018-04-07 19:00:00,37.3
2018-04-07 20:00:00,41.16
2018-04-07 21:00:00,40.59
2018-04-07 22:00:00,33.45
2018-04-07 23:00:00,33.86
2018-04-08 00:00:00,33.26
2018-04-08 01:00:00,33.16
2018-04-08 02:00:00,31.77
2018-04-08 03:00:00,31.74
2018-04-08 04:00:00,31.74
2018-04-08 05:00:00,31.74
2018-04-08 06:00:00,32.64
2018-04-08 07:00:00,31.74
2018-04-08 08:00:00,32.02
2018-04-08 09:00:00,32.6
2018-04-08 10:00:00,33.25
2018-04-08 11:00:00,33.25
2018-04-08 12:00:00,33.26
