Date Time,System Marginal Price (SMP)
2018-08-20 10:00:00,44.05
2018-08-20 11:00:00,45.98
2018-08-20 12:00:00,46.06
2018-08-20 13:00:00,46.06
2018-08-20 14:00:00,46.06
2018-08-20 15:00:00,52.98
2018-08-20 16:00:00,74.89
2018-08-20 17:00:00,46.06
2018-08-20 18:00:00,44.15
2018-08-20 19:00:00,33.26
2018-08-20 20:00:00,41.84
2018-08-20 21:00:00,43.25
2018-08-20 22:00:00,32.91
2018-08-20 23:00:00,32.49
2018-08-21 00:00:00,31.74
2018-08-21 01:00:00,30.48
2018-08-21 02:00:00,28.52
2018-08-21 03:00:00,27.18
2018-08-21 04:00:00,27.16
2018-08-21 05:00:00,27.18
2018-08-21 06:00:00,27.19
2018-08-21 07:00:00,30.83
2018-08-21 08:00:00,32.93
2018-08-21 09:00:00,33.26
2018-08-21 10:00:00,38.03
2018-08-21 11:00:00,43.62
2018-08-21 12:00:00,45.61
2018-08-21 13:00:00,46.06
2018-08-21 14:00:00,58.01
2018-08-21 15:00:00,192.07
2018-08-21 16:00:00,579.6
2018-08-21 17:00:00,340.18
2018-08-21 18:00:00,64.1
2018-08-21 19:00:00,47.24
2018-08-21 20:00:00,38.89
2018-08-21 21:00:00,32.5
