Date Time,System Marginal Price (SMP)
2019-08-01 10:00:00,33.33
2019-08-01 11:00:00,34.35
2019-08-01 12:00:00,134.12
2019-08-01 13:00:00,489.18
2019-08-01 14:00:00,41.61
2019-08-01 15:00:00,83.79
2019-08-01 16:00:00,78.15
2019-08-01 17:00:00,75.96
2019-08-01 18:00:00,75.1
2019-08-01 19:00:00,273.51
2019-08-01 20:00:00,171.72
2019-08-01 21:00:00,87.37
2019-08-01 22:00:00,78.42
2019-08-01 23:00:00,44.24
2019-08-02 00:00:00,34.27
2019-08-02 01:00:00,32.9
2019-08-02 02:00:00,32.59
2019-08-02 03:00:00,31.55
2019-08-02 04:00:00,31.34
2019-08-02 05:00:00,31.79
2019-08-02 06:00:00,32.65
2019-08-02 07:00:00,32.27
2019-08-02 08:00:00,34.19
2019-08-02 09:00:00,33.86
2019-08-02 10:00:00,28.54
2019-08-02 11:00:00,31.12
2019-08-02 12:00:00,30.11
2019-08-02 13:00:00,34.22
2019-08-02 14:00:00,33.57
2019-08-02 15:00:00,34.39
2019-08-02 16:00:00,34.34
2019-08-02 17:00:00,34.4
2019-08-02 18:00:00,41.54
2019-08-02 19:00:00,40.05
2019-08-02 20:00:00,33.6
2019-08-02 21:00:00,32.66
