Date Time,System Marginal Price (SMP)
2017-03-04 02:00:00,17.56
2017-03-04 03:00:00,15.74
2017-03-04 04:00:00,15.41
2017-03-04 05:00:00,16.36
2017-03-04 06:00:00,18.28
2017-03-04 07:00:00,16.88
2017-03-04 08:00:00,18.33
2017-03-04 09:00:00,18.77
2017-03-04 10:00:00,18.94
2017-03-04 11:00:00,18.81
2017-03-04 12:00:00,19.19
2017-03-04 13:00:00,18.5
2017-03-04 14:00:00,18.76
2017-03-04 15:00:00,21.57
2017-03-04 16:00:00,25.4
2017-03-04 17:00:00,28.15
2017-03-04 18:00:00,27.77
2017-03-04 19:00:00,26.74
2017-03-04 20:00:00,32.84
2017-03-04 21:00:00,30.54
2017-03-04 22:00:00,24.23
2017-03-04 23:00:00,26.96
2017-03-05 00:00:00,22.8
2017-03-05 01:00:00,19.46
2017-03-05 02:00:00,18.65
2017-03-05 03:00:00,18.4
2017-03-05 04:00:00,18.5
2017-03-05 05:00:00,18.65
2017-03-05 06:00:00,19.5
2017-03-05 07:00:00,20.24
2017-03-05 08:00:00,20.43
2017-03-05 09:00:00,23.42
2017-03-05 10:00:00,25.56
2017-03-05 11:00:00,26.05
2017-03-05 12:00:00,27.77
2017-03-05 13:00:00,27.77
