Date Time,System Marginal Price (SMP)
2017-04-18 04:00:00,18.23
2017-04-18 05:00:00,18.32
2017-04-18 06:00:00,20.15
2017-04-18 07:00:00,20.42
2017-04-18 08:00:00,20.41
2017-04-18 09:00:00,20.24
2017-04-18 10:00:00,18.48
2017-04-18 11:00:00,18.42
2017-04-18 12:00:00,18.53
2017-04-18 13:00:00,18.51
2017-04-18 14:00:00,18.52
2017-04-18 15:00:00,18.48
2017-04-18 16:00:00,18.39
2017-04-18 17:00:00,18.32
2017-04-18 18:00:00,18.45
2017-04-18 19:00:00,18.39
2017-04-18 20:00:00,18.39
2017-04-18 21:00:00,18.39
2017-04-18 22:00:00,18.32
2017-04-18 23:00:00,18.27
2017-04-19 00:00:00,18.25
2017-04-19 01:00:00,16.45
2017-04-19 02:00:00,15.38
2017-04-19 03:00:00,15.41
2017-04-19 04:00:00,16.67
2017-04-19 05:00:00,18.26
2017-04-19 06:00:00,18.38
2017-04-19 07:00:00,19.32
2017-04-19 08:00:00,20.33
2017-04-19 09:00:00,20.4
2017-04-19 10:00:00,20.42
2017-04-19 11:00:00,20.42
2017-04-19 12:00:00,19.98
2017-04-19 13:00:00,18.51
2017-04-19 14:00:00,18.51
2017-04-19 15:00:00,19.05
