Date Time,System Marginal Price (SMP)
2017-06-19 18:00:00,27.4
2017-06-19 19:00:00,24.53
2017-06-19 20:00:00,20.6
2017-06-19 21:00:00,19.95
2017-06-19 22:00:00,18.54
2017-06-19 23:00:00,18.44
2017-06-20 00:00:00,18.1
2017-06-20 01:00:00,18.28
2017-06-20 02:00:00,18.28
2017-06-20 03:00:00,18.28
2017-06-20 04:00:00,18.29
2017-06-20 05:00:00,18.29
2017-06-20 06:00:00,18.46
2017-06-20 07:00:00,19.64
2017-06-20 08:00:00,23.33
2017-06-20 09:00:00,27.05
2017-06-20 10:00:00,27.77
2017-06-20 11:00:00,27.77
2017-06-20 12:00:00,27.27
2017-06-20 13:00:00,25.36
2017-06-20 14:00:00,21.97
2017-06-20 15:00:00,20.43
2017-06-20 16:00:00,20.43
2017-06-20 17:00:00,20.42
2017-06-20 18:00:00,19.27
2017-06-20 19:00:00,18.29
2017-06-20 20:00:00,18.33
2017-06-20 21:00:00,16.44
2017-06-20 22:00:00,15.64
2017-06-20 23:00:00,14.98
2017-06-21 00:00:00,10.14
2017-06-21 01:00:00,18.2
2017-06-21 02:00:00,15.36
2017-06-21 03:00:00,14.54
2017-06-21 04:00:00,13.48
2017-06-21 05:00:00,13.54
