Date Time,System Marginal Price (SMP)
2018-04-28 01:00:00,25.7
2018-04-28 02:00:00,25.7
2018-04-28 03:00:00,25.89
2018-04-28 04:00:00,26.4
2018-04-28 05:00:00,26.98
2018-04-28 06:00:00,26.99
2018-04-28 07:00:00,26.39
2018-04-28 08:00:00,27.16
2018-04-28 09:00:00,33.01
2018-04-28 10:00:00,33.26
2018-04-28 11:00:00,37.28
2018-04-28 12:00:00,40.44
2018-04-28 13:00:00,33.25
2018-04-28 14:00:00,33.26
2018-04-28 15:00:00,32.73
2018-04-28 16:00:00,31.71
2018-04-28 17:00:00,31.75
2018-04-28 18:00:00,27.53
2018-04-28 19:00:00,27.17
2018-04-28 20:00:00,27.14
2018-04-28 21:00:00,27.17
2018-04-28 22:00:00,27.02
2018-04-28 23:00:00,26.93
2018-04-29 00:00:00,25.24
2018-04-29 01:00:00,10.36
2018-04-29 02:00:00,0
2018-04-29 03:00:00,0
2018-04-29 04:00:00,0
2018-04-29 05:00:00,0
2018-04-29 06:00:00,0
2018-04-29 07:00:00,0
2018-04-29 08:00:00,4.85
2018-04-29 09:00:00,21.84
2018-04-29 10:00:00,25.91
2018-04-29 11:00:00,27.15
2018-04-29 12:00:00,27.19
