Date Time,System Marginal Price (SMP)
2018-05-27 00:00:00,16.51
2018-05-27 01:00:00,16.07
2018-05-27 02:00:00,15.38
2018-05-27 03:00:00,5.44
2018-05-27 04:00:00,15.29
2018-05-27 05:00:00,18.71
2018-05-27 06:00:00,23.31
2018-05-27 07:00:00,19.91
2018-05-27 08:00:00,26.69
2018-05-27 09:00:00,29.3
2018-05-27 10:00:00,31.64
2018-05-27 11:00:00,32.18
2018-05-27 12:00:00,33.26
2018-05-27 13:00:00,33.26
2018-05-27 14:00:00,33.26
2018-05-27 15:00:00,38.8
2018-05-27 16:00:00,46.04
2018-05-27 17:00:00,46.06
2018-05-27 18:00:00,46.06
2018-05-27 19:00:00,46.06
2018-05-27 20:00:00,44.87
2018-05-27 21:00:00,34.56
2018-05-27 22:00:00,31.74
2018-05-27 23:00:00,31.27
2018-05-28 00:00:00,26.77
2018-05-28 01:00:00,26.62
2018-05-28 02:00:00,25.02
2018-05-28 03:00:00,24.85
2018-05-28 04:00:00,24.85
2018-05-28 05:00:00,24.85
2018-05-28 06:00:00,27.91
2018-05-28 07:00:00,30.16
2018-05-28 08:00:00,34.91
2018-05-28 09:00:00,42.58
2018-05-28 10:00:00,43.9
2018-05-28 11:00:00,45.54
