Date Time,System Marginal Price (SMP)
2018-05-05 15:00:00,31.74
2018-05-05 16:00:00,31.74
2018-05-05 17:00:00,31.74
2018-05-05 18:00:00,31.74
2018-05-05 19:00:00,31.74
2018-05-05 20:00:00,27.71
2018-05-05 21:00:00,30.59
2018-05-05 22:00:00,29.5
2018-05-05 23:00:00,28.33
2018-05-06 00:00:00,27.09
2018-05-06 01:00:00,26.98
2018-05-06 02:00:00,24.96
2018-05-06 03:00:00,23.72
2018-05-06 04:00:00,23.24
2018-05-06 05:00:00,23.02
2018-05-06 06:00:00,22.98
2018-05-06 07:00:00,23.61
2018-05-06 08:00:00,27.07
2018-05-06 09:00:00,30.11
2018-05-06 10:00:00,31.27
2018-05-06 11:00:00,31.75
2018-05-06 12:00:00,31.74
2018-05-06 13:00:00,31.74
2018-05-06 14:00:00,31.74
2018-05-06 15:00:00,31.95
2018-05-06 16:00:00,33.26
2018-05-06 17:00:00,33.26
2018-05-06 18:00:00,33.26
2018-05-06 19:00:00,31.75
2018-05-06 20:00:00,31.75
2018-05-06 21:00:00,31.75
2018-05-06 22:00:00,30.28
2018-05-06 23:00:00,27.63
2018-05-07 00:00:00,25.61
2018-05-07 01:00:00,19.56
2018-05-07 02:00:00,14
