Date Time,System Marginal Price (SMP)
2018-08-08 17:00:00,774.15
2018-08-08 18:00:00,861.45
2018-08-08 19:00:00,842.21
2018-08-08 20:00:00,103.17
2018-08-08 21:00:00,804.59
2018-08-08 22:00:00,355.01
2018-08-08 23:00:00,100.7
2018-08-09 00:00:00,38.6
2018-08-09 01:00:00,34.47
2018-08-09 02:00:00,32.35
2018-08-09 03:00:00,32.3
2018-08-09 04:00:00,31.93
2018-08-09 05:00:00,33.26
2018-08-09 06:00:00,33.16
2018-08-09 07:00:00,32.96
2018-08-09 08:00:00,68.9
2018-08-09 09:00:00,45.63
2018-08-09 10:00:00,73.4
2018-08-09 11:00:00,157.45
2018-08-09 12:00:00,283.76
2018-08-09 13:00:00,946.28
2018-08-09 14:00:00,965.03
2018-08-09 15:00:00,999.99
2018-08-09 16:00:00,994.05
2018-08-09 17:00:00,944.93
2018-08-09 18:00:00,587.18
2018-08-09 19:00:00,75.46
2018-08-09 20:00:00,42.81
2018-08-09 21:00:00,72.42
2018-08-09 22:00:00,63.15
2018-08-09 23:00:00,69.63
2018-08-10 00:00:00,38.6
2018-08-10 01:00:00,52.76
2018-08-10 02:00:00,43.27
2018-08-10 03:00:00,33.26
2018-08-10 04:00:00,33.26
