Date Time,System Marginal Price (SMP)
2019-03-05 20:00:00,51.08
2019-03-05 21:00:00,53.02
2019-03-05 22:00:00,51.37
2019-03-05 23:00:00,60.2
2019-03-06 00:00:00,66.47
2019-03-06 01:00:00,53.67
2019-03-06 02:00:00,53.7
2019-03-06 03:00:00,49.82
2019-03-06 04:00:00,49.86
2019-03-06 05:00:00,48.01
2019-03-06 06:00:00,53.34
2019-03-06 07:00:00,55.26
2019-03-06 08:00:00,56.54
2019-03-06 09:00:00,53.05
2019-03-06 10:00:00,52.34
2019-03-06 11:00:00,53.33
2019-03-06 12:00:00,53.27
2019-03-06 13:00:00,53.27
2019-03-06 14:00:00,53.48
2019-03-06 15:00:00,55.65
2019-03-06 16:00:00,58.89
2019-03-06 17:00:00,56.4
2019-03-06 18:00:00,57.41
2019-03-06 19:00:00,57.35
2019-03-06 20:00:00,59.52
2019-03-06 21:00:00,62.44
2019-03-06 22:00:00,50.24
2019-03-06 23:00:00,41.65
2019-03-07 00:00:00,36.82
2019-03-07 01:00:00,33.95
2019-03-07 02:00:00,34.32
2019-03-07 03:00:00,34.44
2019-03-07 04:00:00,33.23
2019-03-07 05:00:00,37.43
2019-03-07 06:00:00,52.08
2019-03-07 07:00:00,51.05
