Date Time,System Marginal Price (SMP)
2019-04-23 05:00:00,27.43
2019-04-23 06:00:00,28.41
2019-04-23 07:00:00,28.46
2019-04-23 08:00:00,31.87
2019-04-23 09:00:00,31.48
2019-04-23 10:00:00,33.57
2019-04-23 11:00:00,32.22
2019-04-23 12:00:00,29.51
2019-04-23 13:00:00,28.46
2019-04-23 14:00:00,28.28
2019-04-23 15:00:00,28.34
2019-04-23 16:00:00,28.15
2019-04-23 17:00:00,25.7
2019-04-23 18:00:00,25.12
2019-04-23 19:00:00,25.2
2019-04-23 20:00:00,25.76
2019-04-23 21:00:00,30.33
2019-04-23 22:00:00,28.46
2019-04-23 23:00:00,30.7
2019-04-24 00:00:00,31.97
2019-04-24 01:00:00,28.47
2019-04-24 02:00:00,28.47
2019-04-24 03:00:00,28.47
2019-04-24 04:00:00,28.68
2019-04-24 05:00:00,30.97
2019-04-24 06:00:00,32.58
2019-04-24 07:00:00,32.71
2019-04-24 08:00:00,33.23
2019-04-24 09:00:00,40.93
2019-04-24 10:00:00,33.19
2019-04-24 11:00:00,33.36
2019-04-24 12:00:00,31.81
2019-04-24 13:00:00,30.71
2019-04-24 14:00:00,31.44
2019-04-24 15:00:00,31.83
2019-04-24 16:00:00,28.47
