Date Time,System Marginal Price (SMP)
2019-04-25 04:00:00,28.46
2019-04-25 05:00:00,32.57
2019-04-25 06:00:00,32.72
2019-04-25 07:00:00,33.18
2019-04-25 08:00:00,35.19
2019-04-25 09:00:00,33.57
2019-04-25 10:00:00,33.48
2019-04-25 11:00:00,33.26
2019-04-25 12:00:00,32.59
2019-04-25 13:00:00,33.34
2019-04-25 14:00:00,33.29
2019-04-25 15:00:00,33.76
2019-04-25 16:00:00,41.44
2019-04-25 17:00:00,37.12
2019-04-25 18:00:00,39.36
2019-04-25 19:00:00,53.77
2019-04-25 20:00:00,50.08
2019-04-25 21:00:00,43.76
2019-04-25 22:00:00,32.44
2019-04-25 23:00:00,32.24
2019-04-26 00:00:00,28.47
2019-04-26 01:00:00,28.46
2019-04-26 02:00:00,28.47
2019-04-26 03:00:00,28.03
2019-04-26 04:00:00,28.45
2019-04-26 05:00:00,28.47
2019-04-26 06:00:00,32.12
2019-04-26 07:00:00,32.59
2019-04-26 08:00:00,33.49
2019-04-26 09:00:00,33.06
2019-04-26 10:00:00,33.27
2019-04-26 11:00:00,30.79
2019-04-26 12:00:00,29.61
2019-04-26 13:00:00,29.63
2019-04-26 14:00:00,32.58
2019-04-26 15:00:00,32.58
