Date Time,System Marginal Price (SMP)
2019-08-18 04:00:00,22.49
2019-08-18 05:00:00,21.39
2019-08-18 06:00:00,18.63
2019-08-18 07:00:00,16.56
2019-08-18 08:00:00,18.39
2019-08-18 09:00:00,27.24
2019-08-18 10:00:00,28.25
2019-08-18 11:00:00,28.85
2019-08-18 12:00:00,28.95
2019-08-18 13:00:00,31.58
2019-08-18 14:00:00,31.11
2019-08-18 15:00:00,29.4
2019-08-18 16:00:00,31.01
2019-08-18 17:00:00,33.49
2019-08-18 18:00:00,33.49
2019-08-18 19:00:00,33.48
2019-08-18 20:00:00,29.17
2019-08-18 21:00:00,30.94
2019-08-18 22:00:00,28.94
2019-08-18 23:00:00,28.48
2019-08-19 00:00:00,24.59
2019-08-19 01:00:00,26.57
2019-08-19 02:00:00,28.36
2019-08-19 03:00:00,28.19
2019-08-19 04:00:00,28.18
2019-08-19 05:00:00,28.86
2019-08-19 06:00:00,28.99
2019-08-19 07:00:00,28.92
2019-08-19 08:00:00,30.13
2019-08-19 09:00:00,33.47
2019-08-19 10:00:00,33.33
2019-08-19 11:00:00,33.3
2019-08-19 12:00:00,33.68
2019-08-19 13:00:00,34.42
2019-08-19 14:00:00,34.34
2019-08-19 15:00:00,34.93
