Date,Event Type,Asset,Message,SMP,Price Spike (>$200),Max SMP After Event,Max SMP Growth from Event,Max SMP Date,Max SMP Minutes from Event,Min SMP After Event,Min SMP Reduction from Event,Min SMP Date,Min SMP Minutes from Event,Avg SMP before Event,Avg SMP After Event,Total AB Demand (MW),AB Total Intertie Trade (MW),AB - BC Intertie (MW),AB - MT Intertie (MW),AB - SK Intertie (MW)
2017-01-01 06:09:00,online,other,Calgary Energy Center on line.,15.26,NO,15.46,1.3106159895150737,2017-01-01 08:12:00,123.0,15.26,0.0,2017-01-01 06:09:00,0.0,15.294222222222276,15.388888888888909,9202.0,193.0,205.0,-12.0,0.0
2017-01-02 06:01:00,online,Sundance 5,Sundance 5 Online,21.41,NO,29.97,39.981317141522645,2017-01-02 08:57:00,176.0,21.41,0.0,2017-01-02 06:01:00,0.0,21.018499999999932,23.062555555555587,9774.0,-18.0,-20.0,2.0,0.0
2017-01-03 22:00:00,offline,Sheerness 1,Sheerness #1 off line,24.1,NO,24.1,0.0,2017-01-03 22:00:00,0.0,19.06,20.912863070539434,2017-01-04 00:50:00,170.0,24.437388888888872,20.827555555555566,10436.0,151.0,81.0,71.0,0.0
2017-01-05 01:26:00,online,unit 1,Sheerness 1 unit on line,18.9,NO,18.9,0.0,2017-01-05 01:26:00,0.0,17.74,6.137566137566141,2017-01-05 03:03:00,97.0,22.37366666666666,18.19127777777768,9564.0,144.0,72.0,72.0,0.0
2017-01-07 22:20:00,offline,Keephills 1,Keephills 1 offline.,27.95,NO,42.07,50.51878354203936,2017-01-07 22:28:00,8.0,21.61,22.68336314847943,2017-01-08 01:15:00,175.0,29.4092777777778,27.237333333333275,10397.0,441.0,277.0,164.0,0.0
2017-01-08 04:19:00,online,Keephills 1,Keephills 1 online.,19.2,NO,19.2,0.0,2017-01-08 04:19:00,0.0,19.01,0.9895833333333215,2017-01-08 05:08:00,49.0,19.93772222222217,19.06022222222226,9602.0,216.0,100.0,111.0,0.0
2017-01-09 13:20:00,other,Path 2,Path 2 Out of service.,27.77,NO,27.77,0.0,2017-01-09 13:20:00,0.0,26.88,3.2048973712639595,2017-01-09 15:58:00,158.0,31.670333333333442,27.66122222222225,11011.0,-34.0,-24.0,-11.0,0.0
2017-01-09 13:53:00,online,Path 2,Path 2 Back in service.,27.77,NO,27.77,0.0,2017-01-09 13:53:00,0.0,26.88,3.2048973712639595,2017-01-09 15:58:00,125.0,30.399833333333454,27.547500000000042,11011.0,-34.0,-24.0,-11.0,0.0
2017-01-09 15:12:00,online,Battle 3,Battle River 3 Online,27.77,NO,27.77,0.0,2017-01-09 15:12:00,0.0,26.88,3.2048973712639595,2017-01-09 15:58:00,46.0,27.770000000000067,27.547500000000092,11038.0,-20.0,-33.0,13.0,0.0
2017-01-10 13:08:00,maintenance,AESO,The AESO will be doing planned system maintenance today at 13:50 MDT. There will be no outage to ETS or ADaMS  but submissions and restatements in ETS will be delayed for approximately 30 minutes. If ETS access is lost users can log back in immediately.,20.5,NO,21.46,4.682926829268297,2017-01-10 13:15:00,7.0,20.0,2.4390243902439046,2017-01-10 15:02:00,114.0,26.387388888888857,20.550388888888918,11059.0,-12.0,-6.0,-10.0,0.0
2017-01-10 22:43:00,offline,other,BR3 offline.,20.42,NO,20.42,0.0,2017-01-10 22:43:00,0.0,18.5,9.402546523016653,2017-01-11 01:19:00,156.0,27.947611111111073,19.415666666666652,10493.0,81.0,-15.0,96.0,0.0
2017-01-10 23:17:00,online,other,BR3 online.,20.42,NO,20.42,0.0,2017-01-10 23:17:00,0.0,18.5,9.402546523016653,2017-01-11 01:19:00,122.0,26.004888888888885,19.052999999999987,10129.0,175.0,77.0,98.0,0.0
2017-01-11 22:55:00,offline,Battle 3,Battle River #3 offline.,20.42,NO,20.42,0.0,2017-01-11 22:55:00,0.0,18.5,9.402546523016653,2017-01-12 01:10:00,135.0,21.935833333333374,19.543500000000005,10408.0,260.0,208.0,56.0,0.0
2017-01-12 09:44:00,maintenance,ETS 10:10am,The AESO is doing system maintenance today at 10:10am MST for approx 30 minutes. Users should log out of ADaMS. Dispatching will be done via phone. ETS unavailable from 10:10am to 10:15am.,20.42,NO,20.42,0.0,2017-01-12 09:44:00,0.0,18.5,9.402546523016653,2017-01-12 12:41:00,177.0,21.356333333333357,19.502222222222276,10861.0,157.0,-10.0,111.0,50.0
2017-01-12 10:22:00,online,other,ADaMS users may now log back in,20.42,NO,20.42,0.0,2017-01-12 10:22:00,0.0,18.5,9.402546523016653,2017-01-12 12:41:00,139.0,21.355333333333366,19.0968888888889,10892.0,128.0,-41.0,119.0,50.0
2017-01-12 17:36:00,offline,Sundance 4,Sundance 4 off line,20.42,NO,20.45,0.14691478942212566,2017-01-12 20:10:00,154.0,20.42,0.0,2017-01-12 17:36:00,0.0,19.748055555555563,20.424333333333344,11210.0,163.0,13.0,104.0,49.0
2017-01-12 23:24:00,offline,Sundance 5,Sundance 5 off line.,18.39,NO,18.39,0.0,2017-01-12 23:24:00,0.0,18.39,0.0,2017-01-12 23:24:00,0.0,19.38594444444443,18.38999999999998,9863.0,42.0,42.0,-4.0,0.0
2017-01-13 07:20:00,other,MATL 83,MATL PATH 83 Out of Service,31.0,NO,37.38,20.580645161290324,2017-01-13 08:03:00,43.0,27.77,10.419354838709683,2017-01-13 10:00:00,160.0,20.28533333333336,35.25683333333344,10603.0,178.0,33.0,0.0,145.0
2017-01-13 07:22:00,offline,MATL,MATL out of service.,31.0,NO,37.38,20.580645161290324,2017-01-13 08:03:00,41.0,27.77,10.419354838709683,2017-01-13 10:00:00,158.0,20.425444444444473,35.220944444444555,10603.0,178.0,33.0,0.0,145.0
2017-01-13 08:43:00,offline,Path 1,Path 1 out of service,37.38,NO,37.38,0.0,2017-01-13 08:43:00,0.0,25.9,30.711610486891395,2017-01-13 10:36:00,113.0,28.69494444444449,30.68888888888888,10780.0,88.0,13.0,0.0,77.0
2017-01-14 08:08:00,offline,Sundance 6,Sundance 6 off line,19.86,NO,27.77,39.828801611278955,2017-01-14 09:02:00,54.0,19.86,0.0,2017-01-14 08:08:00,0.0,18.733833333333326,24.884555555555497,9831.0,0.0,0.0,0.0,0.0
2017-01-14 10:57:00,online,Sundance 6,Sundance 6 on line,25.87,NO,25.87,0.0,2017-01-14 10:57:00,0.0,21.4,17.278701198299196,2017-01-14 13:55:00,178.0,24.509722222222166,23.173000000000076,9950.0,0.0,0.0,0.0,0.0
