Date,Event Type,Asset,Message,SMP Spike After Event (>$200),Pool Price Spike After Event (>$200),Event SMP ($/MW),Event Pool Price ($/MW),Max Pool Price After Event,Max SMP After Event,Max SMP Growth from Event,Max SMP Date,Max SMP Minutes from Event,Min SMP After Event,Min SMP Reduction from Event,Min SMP Date,Min SMP Minutes from Event,Avg SMP before Event,Avg SMP After Event,Total AB Demand (MW),AB Total Intertie Trade (MW),AB - BC Intertie (MW),AB - MT Intertie (MW),AB - SK Intertie (MW)
2019-07-10 13:00:00,maintenance,AESO,The AESO is doing planned system maintenance today at 13:10pm MDT for approximately 10 minutes. Users should log out of ADaMS for the duration of the outage. System Controllers will dispatch via phone.,NO,NO,33.49,33.49,33.54,33.53,0.11943863839951607,2019-07-10 15:00:00,120.0,29.35,12.361899074350557,2019-07-10 15:10:00,130.0,33.53000000000005,31.463555555555654,10061.0,14.0,-1.0,15.0,0.0
2019-07-12 21:01:00,offline,Genesee 3,Genesee 3 off line.,NO,NO,70.0,68.93,90.07,90.01,28.585714285714303,2019-07-12 21:06:00,5.0,41.5,40.714285714285715,2019-07-12 23:57:00,176.0,73.48777777777774,57.44655555555562,9859.0,-198.0,-147.0,-51.0,0.0
2019-07-13 07:02:00,online,Sundance 6,Sundance 6 Online.,NO,NO,33.48,33.51,37.41,50.0,49.34289127837517,2019-07-13 10:00:00,178.0,33.48,0.0,2019-07-13 07:02:00,0.0,33.68522222222232,35.0476666666667,8864.0,9.0,-1.0,9.0,0.0
2019-07-15 19:35:00,maintenance,AESO,The AESO is doing planned system maintenance today at 19:35 MDT for approximately 10 minutes. Users should log out of ADaMS for the duration of the outage. System Controllers will dispatch via phone.,NO,NO,47.49,284.81,284.81,74.99,57.90692777426825,2019-07-15 20:00:00,25.0,33.78,28.86923562855338,2019-07-15 22:26:00,171.0,115.71844444444444,54.1392222222222,10028.0,-287.0,-263.0,-19.0,0.0
2019-07-15 20:05:00,maintenance,AESO,The AESO is doing planned system maintenance today at 20:10pm MDT for approximately 10 minutes. Users should log out of ADaMS for the duration of the outage. System Controllers will dispatch via phone.,NO,NO,74.99,70.91,284.81,74.99,0.0,2019-07-15 20:05:00,0.0,33.77,54.96732897719695,2019-07-15 23:00:00,175.0,118.61750000000015,50.27516666666671,9931.0,-66.0,-79.0,13.0,0.0
2019-07-15 23:03:00,maintenance,AESO,The AESO is doing planned system maintenance today at 23:10pm MDT for approximately 10 minutes. Users should log out of ADaMS for the duration of the outage. System Controllers will dispatch via phone.,NO,NO,33.77,33.77,70.91,33.87,0.29612081729344375,2019-07-16 00:05:00,62.0,33.55,0.6514657980456251,2019-07-16 01:25:00,142.0,50.733166666666726,33.73877777777778,9389.0,-18.0,-5.0,-13.0,0.0
2019-07-16 01:56:00,online,Genesee 3,Genesee #3 online.,NO,NO,33.55,33.63,33.82,33.56,0.029806259314479888,2019-07-16 02:00:00,4.0,33.5,0.14903129657226621,2019-07-16 04:00:00,124.0,33.747388888888885,33.534277777777795,8940.0,-26.0,16.0,-39.0,0.0
2019-07-16 16:54:00,maintenance,AESO,The AESO is doing planned system maintenance today at 17:10pm MDT for approximately 10 minutes. Users should log out of ADaMS for the duration of the outage. System Controllers will dispatch via phone.,NO,NO,62.52,65.31,84.07,62.52,0.0,2019-07-16 16:54:00,0.0,33.81,45.921305182341655,2019-07-16 19:00:00,126.0,60.55700000000015,34.78777777777794,10316.0,-66.0,-22.0,-44.0,0.0
2019-07-16 21:35:00,offline,Sundance 6,Sundance #6 Offline.,NO,NO,33.78,33.71,34.44,33.82,0.1184132622853662,2019-07-16 23:00:00,85.0,32.81,2.871521610420369,2019-07-17 00:00:00,145.0,33.99372222222215,33.50472222222235,9817.0,-61.0,-13.0,-48.0,0.0
2019-07-18 16:20:00,offline,Joffre 1,Joffre 1 offline,NO,NO,28.95,29.41,32.24,33.41,15.405872193436942,2019-07-18 17:06:00,46.0,28.94,0.03454231433505095,2019-07-18 19:00:00,160.0,27.0088888888889,30.85366666666663,10147.0,-415.0,-348.0,-71.0,0.0
