Date,Event Type,Asset,Message,SMP,Price Spike (>$200),Max SMP After Event,SMP Growth from Event,Max SMP Date,Time from Event (minutes),Min SMP After Event,SMP Reduction from Event,Min SMP Date,Time from Event (minutes),Avg SMP before Event,Avg SMP After Event
2019-09-11 03:22:00,frequency deviation,other,A frequency deviation of -0.4Hz occurred at 3:22. This was due to an event internal to the AIES.,37.497080359349006,true,209.06308590551396,457.5449712403783,2019-09-11 04:11:00,139.0,3.477760912311394,90.72524879541909,2019-09-11 05:41:00,49.0,54.81516113415234,54.84515876079424
2019-09-11 03:20:00,offline,Keephills 3,Keephills 3 offline,45.31404261382618,true,209.06308590551396,361.36489672127556,2019-09-11 04:11:00,141.0,3.477760912311394,92.32520271486379,2019-09-11 05:41:00,51.0,54.76543381258315,54.759261325981505
2019-09-11 03:20:00,offline,Path 1,Path 1 out of service,45.31404261382618,true,209.06308590551396,361.36489672127556,2019-09-11 04:11:00,141.0,3.477760912311394,92.32520271486379,2019-09-11 05:41:00,51.0,54.76543381258315,54.759261325981505
2019-09-09 10:04:00,offline,service 1201L,1201L out of service.,38.10927184740852,true,214.56708454169893,463.0311841192782,2019-09-09 12:28:00,17.0,12.885740165817538,66.18738815736836,2019-09-09 10:21:00,144.0,55.9261105885857,57.72829385588597
2019-09-09 07:57:00,offline,Path 83,Path 83 out of service.,65.55346298137076,true,200.04587434492603,205.16446461688201,2019-09-09 09:11:00,144.0,12.885740165817538,80.34315872911327,2019-09-09 10:21:00,74.0,57.614040752075034,55.18551854181782
2019-09-09 03:03:00,online,Sundance 6,Sundance 6 on line,55.500478616239604,true,208.10011999653707,274.95193768589655,2019-09-09 04:08:00,127.0,5.1357668331330295,90.74644586645007,2019-09-09 05:10:00,65.0,57.0119351654288,58.45786434511678
2019-09-09 00:07:00,online,other,Calgary Energy Centre On Line,54.76158824889383,true,219.0718646298074,300.0465867317729,2019-09-09 02:04:00,167.0,15.679942173458317,71.36689662434134,2019-09-09 02:54:00,117.0,55.75968862797148,57.05012526399993
2019-09-08 17:49:00,outage,Path 1,"""Path 1 & Path 83 Forced Outage @ 17:49, Path 1 returned @ 18:04, Path 83 returned @ 18:22""",49.913419727005994,true,213.00135241676992,326.7416530098499,2019-09-08 18:18:00,157.0,16.694735403627273,66.55261151222128,2019-09-08 20:26:00,29.0,57.88949015531121,55.080891192751295
2019-09-07 00:16:00,offline,other,Calgary Energy Centre Off Line,86.6040704487948,true,216.53013800228655,150.02304958669507,2019-09-07 02:45:00,178.0,16.97802339574711,80.39581360579874,2019-09-07 03:14:00,149.0,56.42522084835718,57.9414862196985
2019-09-06 23:24:00,offline,Sundance 6,Sundance 6 Off Line,63.87087601726887,true,207.40077686442606,224.7188543466208,2019-09-07 00:42:00,117.0,22.93679223472536,64.08880907078228,2019-09-07 01:21:00,78.0,57.821335454432955,56.87444569192401
2019-09-04 10:03:00,maintenance,other,The AESO is doing planned system maintenance today at 10:10 am MDT for approximately 30 minutes. ETS will be unavailable for the duration of the outage. Submissions and restatements will be delayed during this maintenance,50.86635753906461,true,217.56177518331623,327.7125111941267,2019-09-04 10:10:00,51.0,14.331682777333466,71.82482986652437,2019-09-04 10:54:00,7.0,56.57948251474142,58.71207467528798
2019-09-03 06:02:00,online,Sundance 6,Sundance 6 online,61.15209767566395,true,206.75002483376144,238.09146814605438,2019-09-03 06:34:00,107.0,7.099419449069928,88.39055450440385,2019-09-03 07:49:00,32.0,59.46336736236254,56.522165333437606
2019-09-03 04:08:00,online,Battle 3,Battle River 3 online,45.379721210629334,true,209.02137198439362,360.605236013293,2019-09-03 04:37:00,2.0,8.245879074453113,81.82915440097135,2019-09-03 04:10:00,29.0,59.42909897355776,60.92486598108538
2019-08-30 22:04:00,offline,other,H.R.Milner offline,61.003851152335706,true,211.76971367055373,247.14154872244572,2019-08-30 22:09:00,108.0,7.653762537085928,87.45364039727043,2019-08-30 23:52:00,5.0,54.4013089525401,58.522753479772355
2019-08-30 22:03:00,online,Genesee 3,Genesee #3 online.,51.542809077062444,true,211.76971367055373,310.8618010204558,2019-08-30 22:09:00,109.0,7.653762537085928,85.15066859153394,2019-08-30 23:52:00,6.0,55.24727877963464,58.61727661138961
2019-08-30 21:18:00,offline,Sundance 6,Sundance #6 offline,212.8018659554698,true,212.8018659554698,0.0,2019-08-30 21:18:00,154.0,7.653762537085928,96.40333861607796,2019-08-30 23:52:00,0.0,53.85520628687144,58.200661881743265
2019-08-30 18:22:00,offline,Genesee 3,Genesee #3 Offline.,57.82245306149041,true,212.8018659554698,268.0263542765453,2019-08-30 21:18:00,64.0,8.619783690774927,85.09267034795576,2019-08-30 19:26:00,176.0,59.07268847043169,54.66146027093412
2019-08-30 15:00:00,online,Sundance 4,Sundance Unit 4 on line,50.35225271321481,true,212.7387250993487,322.5009083724987,2019-08-30 15:30:00,156.0,14.27837713156756,71.64302218434759,2019-08-30 17:36:00,30.0,56.63481218953915,58.121989909673225
2019-08-28 11:29:00,offline,Keephills 3,Keephills 3 offline.,98.78690042172272,true,214.35579585699858,116.98807730773062,2019-08-28 11:31:00,19.0,7.771899701414434,92.13266165024302,2019-08-28 11:48:00,2.0,57.01258095947588,56.47606773310681
2019-08-28 09:24:00,online,Battle 4,Battle River 4 online,107.04637818100252,true,214.35579585699858,100.24572479654452,2019-08-28 11:31:00,144.0,7.771899701414434,92.73968925107108,2019-08-28 11:48:00,127.0,57.383494876841844,58.41856479814231
