Actual,Predicted
31.4,34.28705
15.250000000000002,15.880899
29.509999999999998,22.868898
43.33,26.288992
23.68,27.530869
34.11,30.898464
34.11,30.898464
21.6,25.870314
15.26,16.84672
29.820000000000004,31.00907
40.47,24.390242
30.9,32.608475
26.62,21.699131
32.59,29.243652
29.58,29.515032
40.47,33.95895
22.56,23.093697
36.14,26.41566
16.22,15.298803
16.61,15.323383
15.630000000000003,14.44681
18.58,17.685184
30.54,36.49348
21.6,23.202444
36.31,22.205442
23.45,23.652742
23.98,26.992775
21.92,24.502068
22.42,21.011898
50.08,41.113148
37.88,31.471254
20.42,20.13249
23.43,23.378136
27.77,26.298351
18.34,19.204775
25.05,28.524864
18.28,17.472927
28.000000000000004,27.21459
27.770000000000003,28.413137
31.56,24.582117
33.98,28.43525
18.54,17.806278
20.52,22.861897
20.42,19.970139
25.38,30.052246
29.780000000000005,28.734262
37.37,35.356018
18.28,26.203907
18.34,18.442331
18.43,11.736376
18.39,17.852642
13.48,14.098116
13.48,14.109204
19.02,20.254473
15.63,14.379144
17.09,14.75416
18.56,18.454668
15.78,16.138554
18.5,16.486927
74.9,62.035282
20.43,19.923143
13.9,15.3368635
18.49,18.110552
19.2,19.36866
29.85,22.613422
28.549999999999997,31.682842
20.42,21.016176
20.12,23.000546
28.6,27.807268
27.77,27.933638
22.47,28.883347
40.0,22.929813
28.17,28.548094
18.29,19.927652
25.52,24.865776
20.4,22.392664
53.53000000000001,35.326122
23.89,19.393333
18.28,18.043592
24.83,24.432201
34.23,30.550043
18.51,19.124208
29.109999999999996,24.605825
27.77,27.98298
25.05,26.696653
43.0,39.229958
33.27,35.113537
34.54,38.028656
35.1,36.257866
18.28,16.846382
20.42,20.195143
19.87,19.423677
15.86,14.505624
18.28,16.912657
27.759999999999998,23.916443
22.8,22.390919
20.43,26.109129
27.45,25.604713
18.34,17.496115
18.5,20.188837
27.66,26.846092
25.29,27.93113
27.9,34.574623
15.39,15.451763
26.86,26.489597
20.42,22.368048
24.63,23.889313
19.88,19.543545
18.41,19.002182
20.45,22.0649
18.42,21.525476
14.28,14.937279
20.4,30.833885
30.9,42.71054
24.879999999999995,19.415854
20.35,21.98447
18.51,18.245832
27.77,28.458027
15.41,15.275312
20.41,19.608765
19.72,19.922144
27.77,22.272425
18.29,17.642235
20.42,23.773094
20.42,18.778807
15.359999999999998,11.906737
20.2,19.007586
20.42,22.044514
18.47,20.440424
16.93,17.521832
18.28,18.762999
18.28,16.486347
27.8,24.515024
33.57,21.856142
27.79,26.694942
28.26,30.817602
25.14,24.53079
