Actual,Predicted
36.57,24.761684
15.250000000000002,19.211859
32.29,20.699942
21.41,20.626049
22.94,27.272133
26.83,19.865126
35.76,17.171858
24.66,29.087234
31.02,20.036482
32.45,20.813301
20.840000000000003,17.395985
21.39,17.585451
16.6,18.788
36.71,20.076809
38.5,20.076809
15.25,15.151593
12.37,15.135383
18.87,16.122234
15.25,13.969315
15.46,14.015353
15.26,13.099451
27.99,40.81908
31.52,22.296526
54.7,27.7417
15.34,22.497557
15.459999999999999,19.672705
15.460000000000003,19.240192
15.39,19.240192
19.47,18.785952
15.43,20.001749
18.77,20.678034
22.740000000000002,22.370188
15.55,17.556463
42.66,20.90057
28.000000000000004,19.33009
29.41,22.041044
26.92,22.041044
18.39,23.77657
21.95,23.77657
48.13,24.29992
22.12,22.123787
27.77,24.29992
30.78,24.29992
18.11,23.955082
22.44,23.771297
24.36,17.751822
13.42,56.00478
14.47,14.4292345
18.38,201.76862
15.41,15.709733
18.39,14.756394
18.35,14.756394
13.48,14.4292345
16.99,15.869188
14.54,13.667007
19.83,13.667007
18.04,13.667007
16.63,14.507207
18.93,15.082686
18.31,14.68312
18.29,15.115107
20.43,18.770721
13.48,14.880167
30.68,25.454687
24.58,29.320724
20.23,182.84709
20.42,184.11153
20.23,182.84709
27.51,20.187775
20.43,16.786213
18.75,18.620329
18.92,18.620329
19.94,18.401485
27.899999999999995,17.776453
27.499999999999996,20.570774
27.75,25.220549
23.06,23.151655
27.47,25.064108
21.4,16.179916
23.89,16.179916
18.4,14.796802
38.6,22.194828
19.35,22.129986
20.05,19.65375
20.38,19.564592
38.58,24.690077
20.3,20.987713
15.400000000000002,17.32077
18.37,16.904161
18.29,16.904161
17.92,14.796802
15.41,14.796802
20.43,21.390013
21.97,21.075394
18.39,18.333488
18.29,22.495659
25.29,23.845076
15.39,21.622541
27.77,24.2674
19.29,24.2674
20.42,23.529001
18.81,23.520897
15.41,18.1516
18.39,21.56581
31.5,18.887365
16.57,15.068158
18.6,41.032955
18.06,19.781698
18.43,17.320513
15.18,17.320513
18.39,20.62862
18.65,18.712423
27.77,21.730318
20.43,17.746647
15.41,10.249715
19.88,18.881365
18.43,21.562218
16.85,18.676424
19.8,17.982973
16.85,18.676424
15.41,16.254705
18.51,14.796802
18.29,14.70775
20.42,18.016092
18.3,18.469584
18.33,22.264624
19.96,11.827681
27.78,11.221384
16.32,18.62405
15.4,19.256266
15.600000000000001,17.02497
14.69,16.830442
18.32,18.045498
21.96,21.584845
13.48,3.4862072
15.41,2.9196987
18.28,14.796802
11.149999999999999,3.870827
18.51,19.294296
20.42,19.294296
16.22,16.352333
13.85,15.185165
18.39,9.860661
27.600000000000005,12.580837
15.4,17.703402
18.43,4.909637
15.399999999999999,4.909637
18.4,8.781832
18.39,8.781832
14.97,7.099358
18.61,19.710701
20.43,19.710701
29.599999999999998,19.311794
18.0,17.991072
15.41,14.731958
15.4,18.337065
18.39,18.337065
23.19,16.752098
18.39,204.29053
21.68,106.95899
27.93,105.15961
18.58,105.15961
22.16,104.081604
20.43,17.727505
26.76,16.27086
20.43,16.21781
27.77,27.706459
27.23,20.923513
27.77,20.923513
18.73,20.915407
27.769999999999996,20.482477
27.769999999999996,19.107433
17.23,21.385029
18.4,20.271597
28.0,78.42106
18.48,18.981468
18.51,78.38863
15.38,75.37346
18.39,54.69813
29.95,54.69813
28.36,54.69813
23.02,54.69813
27.77,19.002527
18.28,33.0907
20.79,32.296375
20.42,32.296375
18.39,32.296375
22.870000000000005,34.39624
15.459999999999999,11.37212
18.28,17.460718
18.29,17.460718
24.48,20.02742
17.47,17.743717
18.44,17.955715
18.36,19.926533
277.01,66.80657
295.57,131.94406
18.44,131.94406
20.96,20.013206
13.32,14.844163
9.57,10.345709
21.9,20.180494
27.77,20.180494
18.27,17.751822
15.41,11.37212
15.59,15.119793
13.3,15.119793
31.990000000000002,24.593515
27.419999999999998,28.323858
33.26,28.513325
34.05,28.754477
32.97,29.81801
31.45,32.46584
34.55,28.40837
27.16,28.40837
27.16,28.40837
27.18,31.789751
29.809999999999995,31.789751
33.81,29.86476
36.61,181.01462
44.09,67.66551
156.95,68.82458
55.32,203.03642
50.76,203.03642
78.97,46.860943
46.36,40.68667
33.26,43.108105
31.740000000000002,35.544514
50.4,87.972084
32.69,42.306946
73.11,56.42028
33.54,48.197517
