NRGSTREAM Data Extract for stream : AB - BC Hydro  Imp/Exp
Generated at : 01/07/2020 00:20 with : 26304 records
Date criteria from : Oct 01 2016 to : Oct 02 2019
Data Interval : 60 minutes

Date/Time,MW
10/01/2016 00:00,-5
10/01/2016 01:00,138
10/01/2016 02:00,212
10/01/2016 03:00,262
10/01/2016 04:00,290
10/01/2016 05:00,259
10/01/2016 06:00,186
10/01/2016 07:00,129
10/01/2016 08:00,100
10/01/2016 09:00,118
10/01/2016 10:00,95
10/01/2016 11:00,16
10/01/2016 12:00,30
10/01/2016 13:00,28
10/01/2016 14:00,37
10/01/2016 15:00,17
10/01/2016 16:00,1
10/01/2016 17:00,62
10/01/2016 18:00,45
10/01/2016 19:00,11
10/01/2016 20:00,-12
10/01/2016 21:00,65
10/01/2016 22:00,155
10/01/2016 23:00,326
10/02/2016 00:00,415
10/02/2016 01:00,484
10/02/2016 02:00,520
10/02/2016 03:00,569
10/02/2016 04:00,549
10/02/2016 05:00,571
10/02/2016 06:00,575
10/02/2016 07:00,438
10/02/2016 08:00,303
10/02/2016 09:00,162
10/02/2016 10:00,124
10/02/2016 11:00,113
10/02/2016 12:00,118
10/02/2016 13:00,79
10/02/2016 14:00,77
10/02/2016 15:00,35
10/02/2016 16:00,26
10/02/2016 17:00,27
10/02/2016 18:00,19
10/02/2016 19:00,18
10/02/2016 20:00,1
10/02/2016 21:00,4
10/02/2016 22:00,110
10/02/2016 23:00,256
10/03/2016 00:00,301
10/03/2016 01:00,379
10/03/2016 02:00,400
10/03/2016 03:00,401
10/03/2016 04:00,434
10/03/2016 05:00,408
10/03/2016 06:00,143
10/03/2016 07:00,92
10/03/2016 08:00,86
10/03/2016 09:00,5
10/03/2016 10:00,14
10/03/2016 11:00,0
10/03/2016 12:00,1
10/03/2016 13:00,6
10/03/2016 14:00,-57
10/03/2016 15:00,54
10/03/2016 16:00,28
10/03/2016 17:00,53
10/03/2016 18:00,30
10/03/2016 19:00,31
10/03/2016 20:00,17
10/03/2016 21:00,30
10/03/2016 22:00,94
10/03/2016 23:00,258
10/04/2016 00:00,325
10/04/2016 01:00,336
10/04/2016 02:00,310
10/04/2016 03:00,294
10/04/2016 04:00,300
10/04/2016 05:00,305
10/04/2016 06:00,177
10/04/2016 07:00,38
10/04/2016 08:00,-13
10/04/2016 09:00,-5
10/04/2016 10:00,15
10/04/2016 11:00,13
10/04/2016 12:00,2
10/04/2016 13:00,28
10/04/2016 14:00,54
10/04/2016 15:00,43
10/04/2016 16:00,39
10/04/2016 17:00,49
10/04/2016 18:00,46
10/04/2016 19:00,18
10/04/2016 20:00,6
10/04/2016 21:00,80
10/04/2016 22:00,110
10/04/2016 23:00,297
10/05/2016 00:00,317
10/05/2016 01:00,474
10/05/2016 02:00,508
10/05/2016 03:00,520
10/05/2016 04:00,507
10/05/2016 05:00,438
10/05/2016 06:00,313
10/05/2016 07:00,67
10/05/2016 08:00,93
10/05/2016 09:00,85
10/05/2016 10:00,65
10/05/2016 11:00,88
10/05/2016 12:00,114
10/05/2016 13:00,123
10/05/2016 14:00,115
10/05/2016 15:00,122
10/05/2016 16:00,97
10/05/2016 17:00,141
10/05/2016 18:00,130
10/05/2016 19:00,25
10/05/2016 20:00,15
10/05/2016 21:00,73
10/05/2016 22:00,72
10/05/2016 23:00,98
10/06/2016 00:00,109
10/06/2016 01:00,113
10/06/2016 02:00,105
10/06/2016 03:00,189
10/06/2016 04:00,132
10/06/2016 05:00,110
10/06/2016 06:00,31
10/06/2016 07:00,33
10/06/2016 08:00,7
10/06/2016 09:00,-13
10/06/2016 10:00,-25
10/06/2016 11:00,3
10/06/2016 12:00,8
10/06/2016 13:00,17
10/06/2016 14:00,24
10/06/2016 15:00,46
10/06/2016 16:00,29
10/06/2016 17:00,21
10/06/2016 18:00,48
10/06/2016 19:00,-34
10/06/2016 20:00,-49
10/06/2016 21:00,26
10/06/2016 22:00,21
10/06/2016 23:00,109
10/07/2016 00:00,152
10/07/2016 01:00,198
10/07/2016 02:00,237
10/07/2016 03:00,223
10/07/2016 04:00,175
10/07/2016 05:00,168
10/07/2016 06:00,22
10/07/2016 07:00,-3
10/07/2016 08:00,-34
10/07/2016 09:00,10
10/07/2016 10:00,-39
10/07/2016 11:00,-115
10/07/2016 12:00,-112
10/07/2016 13:00,-111
10/07/2016 14:00,-10
10/07/2016 15:00,-120
10/07/2016 16:00,-413
10/07/2016 17:00,-380
10/07/2016 18:00,-317
10/07/2016 19:00,-311
10/07/2016 20:00,-338
10/07/2016 21:00,-248
10/07/2016 22:00,-176
10/07/2016 23:00,-144
10/08/2016 00:00,80
10/08/2016 01:00,178
10/08/2016 02:00,181
10/08/2016 03:00,-12
10/08/2016 04:00,0
10/08/2016 05:00,-86
10/08/2016 06:00,-144
10/08/2016 07:00,-222
10/08/2016 08:00,-249
10/08/2016 09:00,-171
10/08/2016 10:00,-44
10/08/2016 11:00,-204
10/08/2016 12:00,-344
10/08/2016 13:00,-370
10/08/2016 14:00,-383
10/08/2016 15:00,-342
10/08/2016 16:00,-243
10/08/2016 17:00,-268
10/08/2016 18:00,-279
10/08/2016 19:00,-366
10/08/2016 20:00,-314
10/08/2016 21:00,-69
10/08/2016 22:00,-43
10/08/2016 23:00,47
10/09/2016 00:00,2
10/09/2016 01:00,-36
10/09/2016 02:00,3
10/09/2016 03:00,9
10/09/2016 04:00,18
10/09/2016 05:00,-1
10/09/2016 06:00,-3
10/09/2016 07:00,-7
10/09/2016 08:00,-3
10/09/2016 09:00,-7
10/09/2016 10:00,20
10/09/2016 11:00,-53
10/09/2016 12:00,-43
10/09/2016 13:00,-74
10/09/2016 14:00,-66
10/09/2016 15:00,-73
10/09/2016 16:00,-80
10/09/2016 17:00,-111
10/09/2016 18:00,-352
10/09/2016 19:00,-365
10/09/2016 20:00,-318
10/09/2016 21:00,-294
10/09/2016 22:00,-14
10/09/2016 23:00,-5
10/10/2016 00:00,11
10/10/2016 01:00,23
10/10/2016 02:00,-3
10/10/2016 03:00,9
10/10/2016 04:00,11
10/10/2016 05:00,-13
10/10/2016 06:00,-30
10/10/2016 07:00,-28
10/10/2016 08:00,-46
10/10/2016 09:00,-8
10/10/2016 10:00,-9
10/10/2016 11:00,-7
10/10/2016 12:00,-25
10/10/2016 13:00,-47
10/10/2016 14:00,-47
10/10/2016 15:00,-92
10/10/2016 16:00,-133
10/10/2016 17:00,-186
10/10/2016 18:00,-237
10/10/2016 19:00,-334
10/10/2016 20:00,-346
10/10/2016 21:00,-280
10/10/2016 22:00,-129
10/10/2016 23:00,-49
10/11/2016 00:00,-39
10/11/2016 01:00,9
10/11/2016 02:00,-7
10/11/2016 03:00,-5
10/11/2016 04:00,-21
10/11/2016 05:00,-223
10/11/2016 06:00,-263
10/11/2016 07:00,-268
