NRGSTREAM Data Extract for stream : AB - Interchange
Generated at : 01/07/2020 00:32 with : 26304 records
Date criteria from : Oct 01 2016 to : Oct 02 2019
Data Interval : 60 minutes

Date/Time,MW
10/01/2016 00:00,132
10/01/2016 01:00,297
10/01/2016 02:00,354
10/01/2016 03:00,376
10/01/2016 04:00,379
10/01/2016 05:00,339
10/01/2016 06:00,259
10/01/2016 07:00,212
10/01/2016 08:00,178
10/01/2016 09:00,205
10/01/2016 10:00,235
10/01/2016 11:00,150
10/01/2016 12:00,176
10/01/2016 13:00,175
10/01/2016 14:00,200
10/01/2016 15:00,343
10/01/2016 16:00,252
10/01/2016 17:00,290
10/01/2016 18:00,272
10/01/2016 19:00,156
10/01/2016 20:00,130
10/01/2016 21:00,199
10/01/2016 22:00,295
10/01/2016 23:00,420
10/02/2016 00:00,554
10/02/2016 01:00,613
10/02/2016 02:00,650
10/02/2016 03:00,683
10/02/2016 04:00,638
10/02/2016 05:00,663
10/02/2016 06:00,666
10/02/2016 07:00,498
10/02/2016 08:00,371
10/02/2016 09:00,301
10/02/2016 10:00,263
10/02/2016 11:00,247
10/02/2016 12:00,247
10/02/2016 13:00,209
10/02/2016 14:00,214
10/02/2016 15:00,166
10/02/2016 16:00,172
10/02/2016 17:00,183
10/02/2016 18:00,181
10/02/2016 19:00,182
10/02/2016 20:00,139
10/02/2016 21:00,146
10/02/2016 22:00,228
10/02/2016 23:00,361
10/03/2016 00:00,373
10/03/2016 01:00,460
10/03/2016 02:00,474
10/03/2016 03:00,468
10/03/2016 04:00,496
10/03/2016 05:00,474
10/03/2016 06:00,211
10/03/2016 07:00,175
10/03/2016 08:00,150
10/03/2016 09:00,57
10/03/2016 10:00,71
10/03/2016 11:00,71
10/03/2016 12:00,91
10/03/2016 13:00,166
10/03/2016 14:00,24
10/03/2016 15:00,112
10/03/2016 16:00,88
10/03/2016 17:00,190
10/03/2016 18:00,190
10/03/2016 19:00,181
10/03/2016 20:00,149
10/03/2016 21:00,110
10/03/2016 22:00,174
10/03/2016 23:00,336
10/04/2016 00:00,392
10/04/2016 01:00,394
10/04/2016 02:00,375
10/04/2016 03:00,357
10/04/2016 04:00,359
10/04/2016 05:00,382
10/04/2016 06:00,266
10/04/2016 07:00,123
10/04/2016 08:00,64
10/04/2016 09:00,56
10/04/2016 10:00,82
10/04/2016 11:00,81
10/04/2016 12:00,77
10/04/2016 13:00,96
10/04/2016 14:00,117
10/04/2016 15:00,116
10/04/2016 16:00,107
10/04/2016 17:00,112
10/04/2016 18:00,136
10/04/2016 19:00,105
10/04/2016 20:00,91
10/04/2016 21:00,165
10/04/2016 22:00,185
10/04/2016 23:00,349
10/05/2016 00:00,390
10/05/2016 01:00,555
10/05/2016 02:00,578
10/05/2016 03:00,581
10/05/2016 04:00,569
10/05/2016 05:00,508
10/05/2016 06:00,398
10/05/2016 07:00,132
10/05/2016 08:00,151
10/05/2016 09:00,148
10/05/2016 10:00,151
10/05/2016 11:00,171
10/05/2016 12:00,201
10/05/2016 13:00,208
10/05/2016 14:00,201
10/05/2016 15:00,209
10/05/2016 16:00,173
10/05/2016 17:00,229
10/05/2016 18:00,198
10/05/2016 19:00,109
10/05/2016 20:00,104
10/05/2016 21:00,160
10/05/2016 22:00,141
10/05/2016 23:00,165
10/06/2016 00:00,184
10/06/2016 01:00,224
10/06/2016 02:00,224
10/06/2016 03:00,317
10/06/2016 04:00,246
10/06/2016 05:00,233
10/06/2016 06:00,170
10/06/2016 07:00,126
10/06/2016 08:00,82
10/06/2016 09:00,-19
10/06/2016 10:00,-28
10/06/2016 11:00,82
10/06/2016 12:00,77
10/06/2016 13:00,128
10/06/2016 14:00,140
10/06/2016 15:00,183
10/06/2016 16:00,158
10/06/2016 17:00,113
10/06/2016 18:00,139
10/06/2016 19:00,39
10/06/2016 20:00,29
10/06/2016 21:00,112
10/06/2016 22:00,19
10/06/2016 23:00,149
10/07/2016 00:00,193
10/07/2016 01:00,211
10/07/2016 02:00,243
10/07/2016 03:00,226
10/07/2016 04:00,170
10/07/2016 05:00,160
10/07/2016 06:00,36
10/07/2016 07:00,75
10/07/2016 08:00,33
10/07/2016 09:00,67
10/07/2016 10:00,40
10/07/2016 11:00,-20
10/07/2016 12:00,-5
10/07/2016 13:00,22
10/07/2016 14:00,126
10/07/2016 15:00,-15
10/07/2016 16:00,-287
10/07/2016 17:00,-240
10/07/2016 18:00,-148
10/07/2016 19:00,-199
10/07/2016 20:00,-221
10/07/2016 21:00,-140
10/07/2016 22:00,-60
10/07/2016 23:00,9
10/08/2016 00:00,242
10/08/2016 01:00,339
10/08/2016 02:00,335
10/08/2016 03:00,118
10/08/2016 04:00,135
10/08/2016 05:00,72
10/08/2016 06:00,-38
10/08/2016 07:00,-122
