NRGSTREAM Data Extract for stream : AB - Net Gen
Generated at : 01/22/2020 11:17 with : 26796 records
Date criteria from : Jan 01 2017 to : Jan 23 2020
Data Interval : 60 minutes

Date/Time,MW
01/01/2017 00:00,9568
01/01/2017 01:00,9457
01/01/2017 02:00,9419
01/01/2017 03:00,9337
01/01/2017 04:00,9292
01/01/2017 05:00,9327
01/01/2017 06:00,9370
01/01/2017 07:00,9459
01/01/2017 08:00,9644
01/01/2017 09:00,9692
01/01/2017 10:00,9700
01/01/2017 11:00,9869
01/01/2017 12:00,9876
01/01/2017 13:00,9921
01/01/2017 14:00,9867
01/01/2017 15:00,9939
01/01/2017 16:00,10289
01/01/2017 17:00,10659
01/01/2017 18:00,10594
01/01/2017 19:00,10494
01/01/2017 20:00,10395
01/01/2017 21:00,10312
01/01/2017 22:00,10108
01/01/2017 23:00,9946
01/02/2017 00:00,9720
01/02/2017 01:00,9558
01/02/2017 02:00,9441
01/02/2017 03:00,9403
01/02/2017 04:00,9475
01/02/2017 05:00,9572
01/02/2017 06:00,9736
01/02/2017 07:00,9987
01/02/2017 08:00,10251
01/02/2017 09:00,10413
01/02/2017 10:00,10517
01/02/2017 11:00,10585
01/02/2017 12:00,10424
01/02/2017 13:00,10378
01/02/2017 14:00,10380
01/02/2017 15:00,10607
01/02/2017 16:00,10749
01/02/2017 17:00,11099
01/02/2017 18:00,11038
01/02/2017 19:00,11027
01/02/2017 20:00,10953
01/02/2017 21:00,10696
01/02/2017 22:00,10357
01/02/2017 23:00,10199
01/03/2017 00:00,9979
01/03/2017 01:00,10049
01/03/2017 02:00,9989
01/03/2017 03:00,10005
01/03/2017 04:00,10071
01/03/2017 05:00,10204
01/03/2017 06:00,10404
01/03/2017 07:00,10604
01/03/2017 08:00,10995
01/03/2017 09:00,10990
01/03/2017 10:00,10984
01/03/2017 11:00,10936
01/03/2017 12:00,10966
01/03/2017 13:00,10953
01/03/2017 14:00,10939
01/03/2017 15:00,10942
01/03/2017 16:00,11110
01/03/2017 17:00,11316
01/03/2017 18:00,11230
01/03/2017 19:00,11143
01/03/2017 20:00,11077
01/03/2017 21:00,10845
01/03/2017 22:00,10575
01/03/2017 23:00,10326
01/04/2017 00:00,10156
01/04/2017 01:00,9936
01/04/2017 02:00,9738
01/04/2017 03:00,9687
01/04/2017 04:00,9759
01/04/2017 05:00,9841
01/04/2017 06:00,10174
01/04/2017 07:00,10641
01/04/2017 08:00,10780
01/04/2017 09:00,10754
01/04/2017 10:00,10747
01/04/2017 11:00,10744
01/04/2017 12:00,10726
01/04/2017 13:00,10702
01/04/2017 14:00,10714
01/04/2017 15:00,10780
01/04/2017 16:00,10986
01/04/2017 17:00,11197
01/04/2017 18:00,11062
01/04/2017 19:00,11057
01/04/2017 20:00,10924
01/04/2017 21:00,10823
01/04/2017 22:00,10429
01/04/2017 23:00,10098
01/05/2017 00:00,9872
01/05/2017 01:00,9699
01/05/2017 02:00,9735
01/05/2017 03:00,9787
01/05/2017 04:00,9765
01/05/2017 05:00,9901
01/05/2017 06:00,10386
01/05/2017 07:00,10805
01/05/2017 08:00,10902
01/05/2017 09:00,10762
01/05/2017 10:00,10823
01/05/2017 11:00,10875
01/05/2017 12:00,10831
01/05/2017 13:00,10765
01/05/2017 14:00,10770
01/05/2017 15:00,10688
01/05/2017 16:00,10910
01/05/2017 17:00,11211
01/05/2017 18:00,11052
01/05/2017 19:00,10942
01/05/2017 20:00,10841
01/05/2017 21:00,10774
01/05/2017 22:00,10453
01/05/2017 23:00,10008
01/06/2017 00:00,9751
01/06/2017 01:00,9929
01/06/2017 02:00,9920
01/06/2017 03:00,9939
01/06/2017 04:00,9991
01/06/2017 05:00,10276
01/06/2017 06:00,10765
01/06/2017 07:00,11057
01/06/2017 08:00,11267
01/06/2017 09:00,11146
01/06/2017 10:00,11276
01/06/2017 11:00,11209
01/06/2017 12:00,11030
01/06/2017 13:00,10842
01/06/2017 14:00,10749
01/06/2017 15:00,10882
01/06/2017 16:00,11038
01/06/2017 17:00,11441
01/06/2017 18:00,11254
01/06/2017 19:00,11286
01/06/2017 20:00,11341
01/06/2017 21:00,10834
01/06/2017 22:00,10515
01/06/2017 23:00,10306
01/07/2017 00:00,10308
01/07/2017 01:00,10080
01/07/2017 02:00,10023
01/07/2017 03:00,10036
01/07/2017 04:00,10062
01/07/2017 05:00,10129
01/07/2017 06:00,10289
01/07/2017 07:00,10463
01/07/2017 08:00,10750
01/07/2017 09:00,10778
01/07/2017 10:00,10963
01/07/2017 11:00,11030
01/07/2017 12:00,11002
01/07/2017 13:00,10904
01/07/2017 14:00,10881
01/07/2017 15:00,10927
01/07/2017 16:00,11198
01/07/2017 17:00,11512
01/07/2017 18:00,11417
01/07/2017 19:00,11189
01/07/2017 20:00,11121
01/07/2017 21:00,11039
01/07/2017 22:00,10823
01/07/2017 23:00,10341
01/08/2017 00:00,10086
01/08/2017 01:00,10036
01/08/2017 02:00,9898
01/08/2017 03:00,9817
01/08/2017 04:00,9801
01/08/2017 05:00,9800
01/08/2017 06:00,9917
01/08/2017 07:00,10018
01/08/2017 08:00,10220
01/08/2017 09:00,10317
01/08/2017 10:00,10423
01/08/2017 11:00,10508
01/08/2017 12:00,10575
01/08/2017 13:00,10481
01/08/2017 14:00,10524
01/08/2017 15:00,10614
01/08/2017 16:00,10913
01/08/2017 17:00,11488
01/08/2017 18:00,11416
01/08/2017 19:00,11379
01/08/2017 20:00,11248
01/08/2017 21:00,10872
01/08/2017 22:00,10457
01/08/2017 23:00,10194
01/09/2017 00:00,9962
01/09/2017 01:00,9816
01/09/2017 02:00,9787
01/09/2017 03:00,9863
01/09/2017 04:00,9761
01/09/2017 05:00,9959
01/09/2017 06:00,10481
01/09/2017 07:00,11097
01/09/2017 08:00,11043
01/09/2017 09:00,11040
