NRGSTREAM Data Extract for stream : AB - Net Gen Hr Avg
Generated at : 01/22/2020 10:54 with : 1116 records
Date criteria from : Jan 01 2017 to : Jan 23 2020
Data Interval : 1440 minutes

Date/Time,MW
01/01/2017 00:00,9855
01/02/2017 00:00,10273
01/03/2017 00:00,10692
01/04/2017 00:00,10518
01/05/2017 00:00,10522
01/06/2017 00:00,10751
01/07/2017 00:00,10718
01/08/2017 00:00,10457
01/09/2017 00:00,10737
01/10/2017 00:00,10809
01/11/2017 00:00,10699
01/12/2017 00:00,10593
01/13/2017 00:00,10313
01/14/2017 00:00,9725
01/15/2017 00:00,9462
01/16/2017 00:00,9951
01/17/2017 00:00,9970
01/18/2017 00:00,9825
01/19/2017 00:00,9874
01/20/2017 00:00,9942
01/21/2017 00:00,9934
01/22/2017 00:00,9980
01/23/2017 00:00,10303
01/24/2017 00:00,10326
01/25/2017 00:00,10369
01/26/2017 00:00,10260
01/27/2017 00:00,10173
01/28/2017 00:00,9921
01/29/2017 00:00,9806
01/30/2017 00:00,10176
01/31/2017 00:00,10331
02/01/2017 00:00,10449
02/02/2017 00:00,10489
02/03/2017 00:00,10516
02/04/2017 00:00,10076
02/05/2017 00:00,10023
02/06/2017 00:00,10601
02/07/2017 00:00,10665
02/08/2017 00:00,10653
02/09/2017 00:00,10534
02/10/2017 00:00,10207
02/11/2017 00:00,9665
02/12/2017 00:00,9575
02/13/2017 00:00,9903
02/14/2017 00:00,9805
02/15/2017 00:00,9668
02/16/2017 00:00,9694
02/17/2017 00:00,9540
02/18/2017 00:00,9354
02/19/2017 00:00,9161
02/20/2017 00:00,9382
02/21/2017 00:00,9814
02/22/2017 00:00,10031
02/23/2017 00:00,10073
02/24/2017 00:00,10049
02/25/2017 00:00,9684
02/26/2017 00:00,9897
02/27/2017 00:00,10208
02/28/2017 00:00,10035
03/01/2017 00:00,9923
03/02/2017 00:00,9872
03/03/2017 00:00,9762
03/04/2017 00:00,9738
03/05/2017 00:00,9750
03/06/2017 00:00,10052
03/07/2017 00:00,10209
03/08/2017 00:00,10181
03/09/2017 00:00,10348
03/10/2017 00:00,10191
03/11/2017 00:00,9922
03/12/2017 00:00,9536
03/13/2017 00:00,9968
03/14/2017 00:00,9692
03/15/2017 00:00,9474
03/16/2017 00:00,9330
03/17/2017 00:00,9289
03/18/2017 00:00,9048
03/19/2017 00:00,9018
03/20/2017 00:00,9366
03/21/2017 00:00,9463
03/22/2017 00:00,9179
03/23/2017 00:00,9142
03/24/2017 00:00,9001
03/25/2017 00:00,8504
03/26/2017 00:00,8488
03/27/2017 00:00,8874
03/28/2017 00:00,9060
03/29/2017 00:00,9048
03/30/2017 00:00,8865
03/31/2017 00:00,8720
04/01/2017 00:00,8288
04/02/2017 00:00,8055
04/03/2017 00:00,8845
04/04/2017 00:00,8881
04/05/2017 00:00,9041
04/06/2017 00:00,9035
04/07/2017 00:00,8639
04/08/2017 00:00,8163
04/09/2017 00:00,8410
04/10/2017 00:00,8918
04/11/2017 00:00,9045
04/12/2017 00:00,8982
04/13/2017 00:00,8951
04/14/2017 00:00,8373
04/15/2017 00:00,8280
04/16/2017 00:00,8307
04/17/2017 00:00,8630
04/18/2017 00:00,8914
04/19/2017 00:00,8809
04/20/2017 00:00,8618
04/21/2017 00:00,8570
04/22/2017 00:00,8122
04/23/2017 00:00,8067
04/24/2017 00:00,8539
04/25/2017 00:00,8266
04/26/2017 00:00,8274
04/27/2017 00:00,8221
04/28/2017 00:00,8140
04/29/2017 00:00,7702
04/30/2017 00:00,7555
05/01/2017 00:00,8561
05/02/2017 00:00,8687
05/03/2017 00:00,8661
05/04/2017 00:00,8635
05/05/2017 00:00,8092
05/06/2017 00:00,7814
05/07/2017 00:00,7656
05/08/2017 00:00,8537
05/09/2017 00:00,8356
05/10/2017 00:00,8310
05/11/2017 00:00,8221
05/12/2017 00:00,8277
05/13/2017 00:00,7961
05/14/2017 00:00,7791
05/15/2017 00:00,8577
05/16/2017 00:00,8405
05/17/2017 00:00,8195
05/18/2017 00:00,8353
05/19/2017 00:00,8407
05/20/2017 00:00,7794
05/21/2017 00:00,7766
05/22/2017 00:00,8319
05/23/2017 00:00,8953
05/24/2017 00:00,8442
05/25/2017 00:00,8562
05/26/2017 00:00,8560
05/27/2017 00:00,8247
05/28/2017 00:00,8023
05/29/2017 00:00,8389
05/30/2017 00:00,8836
05/31/2017 00:00,8870
06/01/2017 00:00,8601
06/02/2017 00:00,8459
06/03/2017 00:00,7822
06/04/2017 00:00,7725
06/05/2017 00:00,8745
06/06/2017 00:00,8613
06/07/2017 00:00,8781
06/08/2017 00:00,8618
06/09/2017 00:00,8395
06/10/2017 00:00,7792
06/11/2017 00:00,7657
06/12/2017 00:00,8190
06/13/2017 00:00,7962
06/14/2017 00:00,7965
06/15/2017 00:00,8504
06/16/2017 00:00,8282
06/17/2017 00:00,7811
06/18/2017 00:00,7628
06/19/2017 00:00,8734
06/20/2017 00:00,8941
06/21/2017 00:00,8589
06/22/2017 00:00,8877
06/23/2017 00:00,8889
06/24/2017 00:00,8678
06/25/2017 00:00,8757
06/26/2017 00:00,9325
06/27/2017 00:00,8999
06/28/2017 00:00,8992
06/29/2017 00:00,9118
06/30/2017 00:00,9270
07/01/2017 00:00,8841
07/02/2017 00:00,8970
07/03/2017 00:00,9252
07/04/2017 00:00,9401
07/05/2017 00:00,9651
07/06/2017 00:00,9945
07/07/2017 00:00,9952
07/08/2017 00:00,9744
07/09/2017 00:00,9636
07/10/2017 00:00,9499
07/11/2017 00:00,9094
07/12/2017 00:00,9140
07/13/2017 00:00,9456
07/14/2017 00:00,9542
07/15/2017 00:00,9343
07/16/2017 00:00,8925
07/17/2017 00:00,9198
07/18/2017 00:00,9277
07/19/2017 00:00,9440
07/20/2017 00:00,9642
07/21/2017 00:00,9465
07/22/2017 00:00,9602
07/23/2017 00:00,9805
07/24/2017 00:00,9867
07/25/2017 00:00,9606
07/26/2017 00:00,9457
07/27/2017 00:00,9451
07/28/2017 00:00,9392
07/29/2017 00:00,9361
07/30/2017 00:00,9469
07/31/2017 00:00,9763
08/01/2017 00:00,9971
08/02/2017 00:00,9830
08/03/2017 00:00,9788
08/04/2017 00:00,9629
08/05/2017 00:00,9089
08/06/2017 00:00,9279
08/07/2017 00:00,9510
08/08/2017 00:00,9676
08/09/2017 00:00,9849
08/10/2017 00:00,9731
08/11/2017 00:00,9662
08/12/2017 00:00,8912
08/13/2017 00:00,9008
08/14/2017 00:00,9356
08/15/2017 00:00,9155
08/16/2017 00:00,9211
08/17/2017 00:00,9308
08/18/2017 00:00,9508
08/19/2017 00:00,9065
08/20/2017 00:00,9098
08/21/2017 00:00,9599
08/22/2017 00:00,9722
08/23/2017 00:00,9848
08/24/2017 00:00,9762
08/25/2017 00:00,9624
08/26/2017 00:00,9494
08/27/2017 00:00,9453
08/28/2017 00:00,9984
08/29/2017 00:00,9873
08/30/2017 00:00,9665
08/31/2017 00:00,9674
09/01/2017 00:00,9824
09/02/2017 00:00,9795
09/03/2017 00:00,9413
09/04/2017 00:00,9471
09/05/2017 00:00,9671
09/06/2017 00:00,9712
09/07/2017 00:00,9740
09/08/2017 00:00,9722
09/09/2017 00:00,9144
09/10/2017 00:00,9166
09/11/2017 00:00,9588
09/12/2017 00:00,9392
09/13/2017 00:00,9164
09/14/2017 00:00,9162
09/15/2017 00:00,9077
09/16/2017 00:00,8802
09/17/2017 00:00,8644
09/18/2017 00:00,9191
09/19/2017 00:00,9026
09/20/2017 00:00,8996
09/21/2017 00:00,9175
09/22/2017 00:00,9046
09/23/2017 00:00,8743
