Asset,Total Net
Battle River 3 (BR3),149
Battle River 4 (BR4),155
Battle River 5 (BR5),385
Genesee 1 (GN1),400
Genesee 2 (GN2),400
Genesee 3 (GN3),466
H.R. Milner (HRM),144
Keephills 1 (KH1),395
Keephills 2 (KH2),395
Keephills 3 (KH3),463
Sheerness 1 (SH1),400
Sheerness 2 (SH2),390
Sundance 3 (SD3),368
Sundance 4 (SD4),406
Sundance 5 (SD5),406
Sundance 6 (SD6),401
AB Newsprint (ANC1),63
Bantry (ALP1),7
Bellshill (BHL1),5
Carson Creek (GEN5),15
Cloverbar 1 (ENC1),48
Cloverbar 2 (ENC2),101
Cloverbar 3 (ENC3),101
Crossfield Energy Centre 1 (CRS1),48
Crossfield Energy Centre 2 (CRS2),48
Crossfield Energy Centre 3 (CRS3),48
Drywood (DRW1),6
House Mountain (HSM1),6
Judy Creek (GEN6),15
Lethbridge Burdett (ME03),7
Lethbridge Coaldale (ME04),6
Lethbridge Taber (ME02),8
NPC1 Denis St. Pierre (NPC1),11
NPC2 JL Landry (NPC2),9
Northern Prairie Power Project (NPP1),105
Parkland (ALP2),10
Poplar Hill 1 (PH1),48
Rainbow 5 (RB5),50
Ralston (NAT1),20
Valley View 1 (VVW1),50
Valley View 2 (VVW2),50
West Cadotte (WCD1),20
ATCO Scotford Upgrader (APS1),195
Air Liquide Scotford 1 (ALS1),96
AltaGas Harmattan (HMT1),45
Base Plant (SCR1),50
Bear Creek 1 (BCRK),64
Bear Creek 2 (BCR2),36
Blackfalds (BFD1),6
BuckLake (PW01),5
CNRL Horizon (CNR5)*,203
Camrose (CRG1)*,10
Carseland Cogen (TC01),95
Christina Lake (CL01),100
Dow Hydrocarbon (DOWG),326
Edson (TLM2),13
Firebag (SCR6),497
Fort Hills (FH1),199
Foster Creek (EC04),98
Joffre 1 (JOF1),474
Kearl (IOR3),84
Lindbergh (PEC1)*,16
MEG1 Christina Lake (MEG1),202
MacKay River (MKRC),207
Mahkeses (IOR1),180
Mulligan (MUL1)*,5
Muskeg River (MKR1),202
Nabiye (IOR2)*,195
Nexen Inc 2 (NX02),220
Poplar Creek (SCR5),376
Primrose 1 (PR1),100
Rainbow Lake 1 (RL1),47
Redwater Cogen (TC02),92
Saddle Hills (SDH1),10
Shell Caroline (SHCG)*,19
Syncrude 1 (SCL1)*,510
U of C Generator (UOC1)*,12
University of Alberta (UOA1)*,39
Cavalier (EC01),120
ENMAX Calgary Energy Centre (CAL1),320
Fort Nelson (FNG1),73
Medicine Hat 1 (CMH1),255
Nexen Inc 1 (NX01),120
Shepard (EGC1),860
Bighorn Hydro (BIG),120
Bow River Hydro (BOW1),320
Brazeau Hydro (BRA),350
Chin Chute (CHIN),15
Dickson Dam (DKSN),15
Irrican Hydro (ICP1),7
Oldman River (OMRH),32
Raymond Reservoir (RYMD),21
Taylor Hydro (TAY1),14
Ardenville Wind (ARD1)*,68
BUL1 Bull Creek (BUL1)*,13
BUL2 Bull Creek (BUL2)*,16
Blackspring Ridge (BSR1)*,300
Blue Trail Wind (BTR1)*,66
Castle River 1 (CR1)*,39
Castle Rock Wind Farm (CRR1)*,77
Cowley Ridge (CRE3)*,20
Enmax Taber (TAB1)*,81
Ghost Pine (NEP1)*,82
Halkirk Wind Power Facility (HAL1)*,150
Kettles Hill (KHW1)*,63
McBride Lake Windfarm (AKE1)*,73
Oldman 2 Wind Farm 1 (OWF1)*,46
Soderglen Wind (GWW1)*,71
Summerview 1 (IEW1)*,66
Summerview 2 (IEW2)*,66
Suncor Chin Chute (SCR3)*,30
Suncor Magrath (SCR2)*,30
Whitla (WHT1)*,202
Wintering Hills (SCR4)*,88
APF Athabasca (AFG1)*,131
Brooks Solar (BSC1),15
Cancarb Medicine Hat (CCMH),42
DAI1 Daishowa (DAI1),52
Gold Creek Facility (GOC1),5
Grande Prairie EcoPower (GPEC),27
NRGreen (NRG3),16
Slave Lake (SLP1)*,9
Weldwood 1 (WWD1)*,50
Westlock (WST1)*,18
Weyerhaeuser (WEY1),48
Whitecourt Power (EAGL),25
