NRGSTREAM Data Extract for stream : AB - Market Comments,
Generated at : 10/26/2019 03:21 with : 1637 records,
Date criteria from : Oct 01 2016 to : Oct 02 2019,
Data Interval : 5 minutes,
,
Effective Date,Message
08/30/2019 22:04,H.R.Milner offline
08/30/2019 22:03,Genesee #3 online.
08/30/2019 21:18,Sundance #6 offline
08/30/2019 18:22,Genesee #3 Offline.
08/30/2019 15:00,Sundance Unit 4 on line
08/28/2019 11:29,Keephills 3 offline.
08/28/2019 09:24,Battle River 4 online
08/28/2019 09:09,Keephills 3 offline.
08/24/2019 08:36,Keephills 3 online.
08/24/2019 02:26,Keephills 3 off line.
08/22/2019 23:07,Sundance 4 offline
08/22/2019 10:45,The AESO is doing maintenance today at 11:10 for approx 20 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone. ETS access may be lost for 2-3 min. ETS submissions  restatements  updates to reports and DVN may be impacted.
08/21/2019 09:40,The AESO is doing maintenance today at 10:10 for approximately 10 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone.
08/19/2019 04:32,Sundance #4 online.
08/16/2019 01:00,Genesee 1 on line.
08/15/2019 23:13,Sundance Unit 4 offline
08/15/2019 14:20,Path 2 in service
08/15/2019 09:39,The AESO is doing maintenance today at 10:10 for approx 20 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone. ETS access may be lost for 2-3 min. ETS submissions  restatements  updates to reports and DVN may be impacted.
08/14/2019 03:40,Battle River #3 offline.
08/13/2019 09:40,The AESO is doing planned system maintenance today at 10:10 MDT for approximately 10 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone.
08/12/2019 14:41,Genesee 1 offline.
08/12/2019 14:20,Keephills 3 online.
08/11/2019 19:20,Battle River #4 online
08/11/2019 12:02,MacKay 1  (MKRC) offline.
08/10/2019 18:06,Sheerness #1 offline.
08/09/2019 22:29,Battle River #4 offline.
08/09/2019 13:58,The AESO is doing planned system maintenance today at 14:10 MDT for approximately 10 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone.
08/08/2019 15:19,Sundance 4 online
08/08/2019 14:16,Keephills 3 offline
08/08/2019 12:51,Sundance 4 offline.
08/07/2019 4:00,Battle River unit #3 on line
08/06/2019 9:14,The AESO is doing maintenance today at 09:15 for approx 10 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone.
08/02/2019 10:50,Sheerness unit 1 On Line
08/01/2019 13:07,Sheerness 2 offline
07/31/2019 09:27,The AESO is doing planned maintenance today between 10am and 12pm. No impact to ETS or ADaMS  however   there may be a couple brief instances where there will be a delay in the updating of AESO reports.
07/29/2019 09:52,The AESO is doing maintenance today at 10:10 for approx 20 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone. ETS access may be lost for 2-3 min. ETS submissions  restatements and updates to reports may be delayed.
07/27/2019 01:13,Battle River 3 offline
07/25/2019 22:31,Battle River 4 online
07/24/2019 09:41,The AESO is doing planned system maintenance today between 10:00 and 12:00 MDT. There will be no impact to ETS or ADaMS  however   there may be a couple brief instances where there will be a delay in the updating of AESO reports.
07/22/2019 15:06,The AESO is doing planned system maintenance today at 15:10pm MDT for approximately 10 minutes. Users should log out of ADaMS for the duration of the outage. System Controllers will dispatch via phone.
07/22/2019 13:47,The AESO is doing planned system maintenance today at 14:10pm MDT for approximately 10 minutes. Users should log out of ADaMS for the duration of the outage. System Controllers will dispatch via phone.
07/22/2019 04:02,Battle River 3 online
07/22/2019 03:30,Sundance 4 online
07/21/2019 01:01,Sundance #6 online.
07/20/2019 11:05,Sundance #4 off line.
07/19/2019 17:04,Joffre 1 online
07/18/2019 16:20,Joffre 1 offline
07/16/2019 21:35,Sundance #6 Offline.
07/16/2019 16:54,The AESO is doing planned system maintenance today at 17:10pm MDT for approximately 10 minutes. Users should log out of ADaMS for the duration of the outage. System Controllers will dispatch via phone.
07/16/2019 01:56,Genesee #3 online.
07/15/2019 23:03,The AESO is doing planned system maintenance today at 23:10pm MDT for approximately 10 minutes. Users should log out of ADaMS for the duration of the outage. System Controllers will dispatch via phone.
07/15/2019 20:05,The AESO is doing planned system maintenance today at 20:10pm MDT for approximately 10 minutes. Users should log out of ADaMS for the duration of the outage. System Controllers will dispatch via phone.
07/15/2019 19:35,The AESO is doing planned system maintenance today at 19:35 MDT for approximately 10 minutes. Users should log out of ADaMS for the duration of the outage. System Controllers will dispatch via phone.
07/13/2019 07:02,Sundance 6 Online.
07/12/2019 21:01,Genesee 3 off line.
07/10/2019 13:00,The AESO is doing planned system maintenance today at 13:10pm MDT for approximately 10 minutes. Users should log out of ADaMS for the duration of the outage. System Controllers will dispatch via phone.
07/10/2019 9:57,The AESO is doing planned system maintenance today at 10:10am MDT for approximately 10 minutes. Users should log out of ADaMS for the duration of the outage. System Controllers will dispatch via phone.
07/04/2019 9:29,The AESO is doing maintenance today at 10:10 for approx 20 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone. ETS access may be lost for 2-3 min. ETS submissions  restatements  updates to reports and DVN may be impacted.
